# timestamp[secs] tx ty tz qx qy qz qw
1541978775.323021 1.062855 -0.357541 0.973504 -0.248003 -0.058695 0.486634 0.835606
1541978775.32802 1.06291 -0.353293 0.97163 -0.248077 -0.060206 0.485776 0.835976
1541978775.333014 1.062837 -0.349127 0.969756 -0.247395 -0.060769 0.485021 0.836575
1541978775.338009 1.062874 -0.345027 0.967941 -0.247844 -0.061805 0.483844 0.837047
1541978775.342999 1.063009 -0.34089 0.966122 -0.248481 -0.063685 0.482794 0.837324
1541978775.347989 1.063084 -0.336759 0.964368 -0.247282 -0.064617 0.481863 0.838143
1541978775.352978 1.063223 -0.332751 0.96258 -0.24787 -0.065408 0.480652 0.838603
1541978775.357965 1.06339 -0.328762 0.960876 -0.248126 -0.066584 0.479271 0.839226
1541978775.36296 1.063557 -0.324745 0.959107 -0.247774 -0.06673 0.478707 0.83964
1541978775.367968 1.063793 -0.32077 0.957406 -0.247264 -0.067169 0.477605 0.840382
1541978775.372975 1.064119 -0.316868 0.955819 -0.247113 -0.067952 0.475855 0.841356
1541978775.377984 1.06445 -0.313044 0.954108 -0.247168 -0.068001 0.474244 0.842245
1541978775.382991 1.064788 -0.309153 0.952412 -0.246686 -0.068017 0.473219 0.842961
1541978775.387997 1.065225 -0.305463 0.950796 -0.247205 -0.068011 0.471428 0.843813
1541978775.393005 1.065683 -0.301781 0.94915 -0.247609 -0.068006 0.47037 0.844285
1541978775.398011 1.066154 -0.298036 0.947538 -0.246472 -0.067778 0.468799 0.845508
1541978775.403013 1.066687 -0.294461 0.945897 -0.246567 -0.067453 0.467342 0.846314
1541978775.408013 1.067279 -0.290973 0.944288 -0.247284 -0.067277 0.465894 0.846916
1541978775.413016 1.067909 -0.287509 0.942653 -0.247804 -0.066793 0.464342 0.847655
1541978775.418017 1.068536 -0.284106 0.94102 -0.24795 -0.066531 0.463189 0.848263
1541978775.423015 1.06932 -0.280749 0.939508 -0.248778 -0.067448 0.461613 0.848807
1541978775.428009 1.069984 -0.277424 0.937934 -0.248 -0.066597 0.460326 0.8498
1541978775.433003 1.070783 -0.274239 0.936339 -0.248716 -0.066757 0.459466 0.850044
1541978775.437996 1.071675 -0.271129 0.934822 -0.249894 -0.067322 0.457721 0.850595
1541978775.442988 1.072498 -0.267998 0.933302 -0.24936 -0.066628 0.456371 0.851532
1541978775.447978 1.073425 -0.264972 0.93176 -0.249812 -0.066209 0.455134 0.852094
