# timestamp[secs] tx ty tz qx qy qz qw
1542151681.9647 0.854275 0.99654 0.776549 0.15084 -0.212817 0.964561 -0.039721
1542151681.969671 0.851855 0.998032 0.778397 0.155459 -0.210631 0.964471 -0.03554
1542151681.974652 0.849308 0.999024 0.780427 0.162914 -0.205498 0.964357 -0.035281
1542151681.979643 0.846982 1.00035 0.782219 0.168009 -0.202347 0.964281 -0.031478
1542151681.984642 0.844632 1.001578 0.784186 0.173582 -0.200322 0.963781 -0.029448
1542151681.98965 0.842428 1.00291 0.786089 0.179377 -0.198082 0.963258 -0.026867
1542151681.994665 0.840251 1.004028 0.788005 0.185631 -0.195142 0.962686 -0.02641
1542151681.999683 0.838094 1.00523 0.789851 0.191722 -0.193624 0.961829 -0.025264
1542151682.004699 0.8361 1.006427 0.791767 0.197408 -0.190339 0.961408 -0.022254
1542151682.009714 0.834029 1.007492 0.793657 0.204481 -0.187643 0.960427 -0.023633
1542151682.014716 0.832075 1.008615 0.795546 0.210693 -0.185809 0.959487 -0.021647
1542151682.019715 0.83014 1.009609 0.797421 0.216014 -0.184321 0.958606 -0.020947
1542151682.024711 0.828306 1.01068 0.799307 0.222443 -0.181756 0.957612 -0.021532
1542151682.029706 0.826385 1.011485 0.801212 0.22894 -0.178623 0.956646 -0.022554
1542151682.034712 0.824667 1.012556 0.802984 0.23421 -0.178264 0.955456 -0.02174
1542151682.03972 0.8228 1.013352 0.804881 0.239482 -0.175253 0.95467 -0.023251
1542151682.044728 0.821108 1.014243 0.806643 0.243546 -0.1739 0.953895 -0.022971
1542151682.049732 0.819348 1.015158 0.808317 0.24667 -0.17298 0.953271 -0.022521
1542151682.05474 0.817568 1.015954 0.810028 0.24982 -0.171522 0.952701 -0.023064
1542151682.059742 0.815891 1.016681 0.811675 0.252118 -0.170317 0.952337 -0.021957
1542151682.064742 0.814174 1.017465 0.81328 0.254816 -0.170886 0.95149 -0.02312
1542151682.069737 0.812462 1.018064 0.814874 0.257592 -0.169484 0.950951 -0.024772
1542151682.074732 0.810729 1.018757 0.816372 0.260007 -0.169497 0.950312 -0.023974
1542151682.079725 0.809037 1.01948 0.817771 0.26377 -0.169448 0.949335 -0.021822
1542151682.084721 0.807339 1.020024 0.819186 0.268592 -0.169098 0.948047 -0.021694
1542151682.089713 0.805649 1.02058 0.820571 0.275886 -0.168818 0.94604 -0.019913
1542151682.094705 0.804005 1.021044 0.821881 0.282497 -0.167388 0.944375 -0.01822
1542151682.099703 0.802414 1.021311 0.823196 0.29123 -0.164771 0.942192 -0.017576
1542151682.1047 0.800802 1.021694 0.824461 0.300268 -0.163245 0.939634 -0.016678
1542151682.109701 0.799209 1.022044 0.825647 0.31043 -0.160451 0.936815 -0.016324
1542151682.114703 0.797622 1.022373 0.82675 0.320499 -0.159026 0.933677 -0.015441
1542151682.119699 0.79611 1.022596 0.827807 0.329473 -0.155582 0.931141 -0.014743
1542151682.124701 0.794457 1.022616 0.828893 0.33771 -0.153806 0.928491 -0.014154
1542151682.129707 0.792892 1.022849 0.829779 0.345835 -0.153898 0.92551 -0.01203
1542151682.134732 0.791315 1.02277 0.830752 0.353592 -0.150534 0.923129 -0.012066
1542151682.139751 0.789668 1.02256 0.831747 0.360564 -0.14831 0.920802 -0.011036
1542151682.144764 0.78823 1.022891 0.832367 0.365295 -0.147465 0.919115 -0.006392
1542151682.149772 0.786406 1.02242 0.83334 0.370073 -0.14769 0.917169 -0.005885
1542151682.154776 0.784628 1.022021 0.834225 0.373041 -0.148148 0.915898 -0.004782
1542151682.159776 0.782802 1.021562 0.835047 0.374934 -0.147981 0.915155 -0.004192
1542151682.164771 0.781069 1.021112 0.835767 0.374706 -0.149087 0.915078 -0.001246
1542151682.169758 0.779334 1.020533 0.836536 0.374605 -0.148428 0.915227 3.7e-05
