# timestamp[secs] tx ty tz qx qy qz qw
1542151703.964652 0.918203 0.889005 0.508724 -0.050467 -0.25754 0.963747 -0.048147
1542151703.969632 0.922717 0.885678 0.511694 -0.048651 -0.255632 0.964008 -0.054539
1542151703.974617 0.927382 0.8823 0.514625 -0.04783 -0.251588 0.964782 -0.060089
1542151703.979603 0.931976 0.879211 0.517546 -0.047007 -0.251428 0.964388 -0.067297
1542151703.984595 0.936492 0.876057 0.520499 -0.045903 -0.250309 0.964335 -0.072773
1542151703.989591 0.941068 0.872808 0.52344 -0.04495 -0.24837 0.964324 -0.079816
1542151703.994594 0.945581 0.869539 0.526377 -0.043431 -0.244909 0.964735 -0.086139
1542151703.999603 0.950118 0.866464 0.529304 -0.043514 -0.24467 0.964192 -0.092613
1542151704.004613 0.954563 0.863486 0.532244 -0.04235 -0.243486 0.96391 -0.098992
1542151704.009637 0.959106 0.860528 0.535205 -0.042381 -0.242977 0.963356 -0.105411
1542151704.014659 0.963659 0.857466 0.538073 -0.042454 -0.240951 0.963012 -0.112906
1542151704.019679 0.968145 0.85456 0.540991 -0.041951 -0.238879 0.962709 -0.119865
1542151704.02469 0.972647 0.851636 0.543888 -0.041284 -0.236497 0.962352 -0.127453
1542151704.029697 0.977062 0.848825 0.546738 -0.040495 -0.234829 0.961876 -0.134202
1542151704.034696 0.98147 0.846084 0.549494 -0.039119 -0.233509 0.96116 -0.14183
1542151704.039689 0.985826 0.843392 0.552206 -0.038006 -0.232644 0.96038 -0.148673
1542151704.04468 0.990099 0.840752 0.554849 -0.036936 -0.232443 0.959359 -0.155682
1542151704.049669 0.994271 0.83804 0.557487 -0.03515 -0.230572 0.958717 -0.162675
1542151704.054653 0.998405 0.835389 0.560048 -0.033146 -0.229276 0.957953 -0.169293
1542151704.059638 1.002448 0.83285 0.56247 -0.031372 -0.229381 0.956983 -0.174883
1542151704.064627 1.006345 0.830352 0.564826 -0.02881 -0.229624 0.95599 -0.180351
1542151704.069617 1.010089 0.827779 0.567093 -0.026067 -0.228784 0.955211 -0.185879
1542151704.074609 1.013837 0.825305 0.569256 -0.024978 -0.229845 0.954067 -0.190537
1542151704.079602 1.017439 0.822854 0.57134 -0.022664 -0.230048 0.953177 -0.194981
1542151704.084602 1.020902 0.820467 0.573266 -0.020586 -0.232275 0.95166 -0.199922
1542151704.089609 1.024219 0.817978 0.575174 -0.018396 -0.231736 0.951228 -0.202794
1542151704.094619 1.027467 0.815641 0.576993 -0.017495 -0.233641 0.949995 -0.206435
1542151704.099628 1.030495 0.813127 0.578721 -0.015712 -0.232904 0.949545 -0.209461
1542151704.104634 1.033524 0.810833 0.580396 -0.014205 -0.234788 0.948294 -0.213097
1542151704.109641 1.036373 0.808473 0.581969 -0.013846 -0.236108 0.947399 -0.215629
1542151704.114648 1.039076 0.806048 0.583541 -0.012313 -0.235698 0.947025 -0.217805
1542151704.119656 1.041695 0.803738 0.585038 -0.012589 -0.237222 0.94619 -0.219755
1542151704.12466 1.044275 0.801318 0.586523 -0.012799 -0.237089 0.945743 -0.221799
1542151704.129669 1.046723 0.799093 0.587851 -0.012503 -0.238539 0.945015 -0.223358
1542151704.134677 1.048974 0.796798 0.58911 -0.011835 -0.239577 0.944353 -0.225076
1542151704.139682 1.051137 0.794474 0.590356 -0.009792 -0.239251 0.944082 -0.226656
1542151704.144681 1.053253 0.792303 0.591496 -0.010375 -0.239806 0.94376 -0.22738
1542151704.149677 1.055153 0.790053 0.592507 -0.008431 -0.240573 0.943322 -0.228466
1542151704.154671 1.056947 0.7878 0.593447 -0.007476 -0.24128 0.942814 -0.229848
1542151704.159665 1.058631 0.785642 0.594216 -0.007284 -0.244055 0.941861 -0.230828
1542151704.164659 1.060189 0.783469 0.594907 -0.006434 -0.246021 0.941531 -0.230111
1542151704.169654 1.06155 0.781227 0.595538 -0.005368 -0.247208 0.941389 -0.229448
1542151704.174649 1.062877 0.779055 0.596071 -0.006203 -0.249615 0.941056 -0.228182
1542151704.179643 1.063931 0.776884 0.596444 -0.006071 -0.252263 0.940602 -0.227146
1542151704.184639 1.064965 0.774755 0.596738 -0.006771 -0.25535 0.940269 -0.225044
1542151704.189638 1.065835 0.772584 0.597055 -0.006738 -0.257265 0.940079 -0.223654
1542151704.194639 1.066581 0.770468 0.59723 -0.007368 -0.259415 0.940033 -0.221332
1542151704.19964 1.067287 0.768327 0.597356 -0.008069 -0.261438 0.939884 -0.21955
1542151704.204644 1.067858 0.766231 0.597436 -0.008518 -0.26396 0.939494 -0.218184
1542151704.209648 1.068327 0.764168 0.59748 -0.009025 -0.26619 0.939332 -0.21614
1542151704.214652 1.068718 0.762182 0.59739 -0.009405 -0.269637 0.938788 -0.214206
1542151704.219657 1.069086 0.760228 0.597327 -0.010806 -0.27161 0.938709 -0.211983
1542151704.224659 1.069337 0.758326 0.597159 -0.011029 -0.273689 0.938671 -0.209451
1542151704.229664 1.069499 0.756483 0.596876 -0.011658 -0.276714 0.938253 -0.207304
1542151704.234667 1.069588 0.754734 0.596597 -0.013142 -0.28017 0.937523 -0.20587
1542151704.239669 1.06958 0.753036 0.596141 -0.015089 -0.284088 0.936943 -0.202987
1542151704.244671 1.069478 0.751298 0.595629 -0.016819 -0.287274 0.936523 -0.200289
1542151704.249673 1.069198 0.749711 0.595071 -0.018507 -0.292089 0.935778 -0.196624
1542151704.254673 1.068913 0.74814 0.594441 -0.02132 -0.29543 0.935489 -0.192684
1542151704.259674 1.068554 0.746578 0.593741 -0.023743 -0.29898 0.934877 -0.189874
1542151704.264674 1.068011 0.74503 0.592936 -0.02649 -0.303046 0.934013 -0.187302
1542151704.269673 1.067322 0.743613 0.592143 -0.02801 -0.307176 0.933715 -0.181754
1542151704.274674 1.066564 0.74206 0.591274 -0.030674 -0.30938 0.933788 -0.177151
1542151704.279676 1.065723 0.740789 0.590326 -0.034266 -0.314317 0.933013 -0.171808
1542151704.284678 1.064773 0.739554 0.589354 -0.037396 -0.318388 0.932525 -0.166218
1542151704.289679 1.063699 0.738243 0.588391 -0.039972 -0.321761 0.931988 -0.16208
1542151704.294682 1.062547 0.73702 0.587396 -0.042132 -0.324282 0.932056 -0.156003
1542151704.299689 1.061354 0.73586 0.586427 -0.044624 -0.326377 0.93216 -0.150216
1542151704.304697 1.059899 0.73468 0.585503 -0.045882 -0.327802 0.932407 -0.145114
1542151704.309703 1.058451 0.733616 0.584505 -0.047492 -0.327858 0.933112 -0.139843
1542151704.314701 1.056999 0.732798 0.583477 -0.05015 -0.330295 0.932952 -0.134133
1542151704.319703 1.055323 0.731916 0.582486 -0.051696 -0.331149 0.933328 -0.128713
1542151704.324703 1.053526 0.731217 0.5814 -0.053484 -0.332294 0.933709 -0.122098
1542151704.3297 1.051717 0.730657 0.5803 -0.055958 -0.333702 0.933875 -0.115715
1542151704.334694 1.049778 0.730165 0.579154 -0.058717 -0.334667 0.934149 -0.109158
1542151704.339687 1.047661 0.729808 0.578004 -0.060482 -0.335563 0.934424 -0.102915
1542151704.344678 1.045423 0.729505 0.57669 -0.063214 -0.336361 0.934605 -0.096848
1542151704.349662 1.0431 0.72944 0.575399 -0.066232 -0.337619 0.934632 -0.089943
1542151704.354652 1.040644 0.729624 0.574069 -0.06894 -0.339135 0.934443 -0.083969
1542151704.359643 1.038121 0.729738 0.572674 -0.071982 -0.339716 0.934549 -0.077656
1542151704.364643 1.035534 0.730106 0.571264 -0.075765 -0.341375 0.934239 -0.070141
1542151704.369647 1.032872 0.730574 0.569822 -0.079463 -0.341043 0.934505 -0.063844
1542151704.374657 1.030028 0.731315 0.568366 -0.082816 -0.343549 0.933823 -0.055585
1542151704.379667 1.027132 0.732076 0.566912 -0.085545 -0.343377 0.934023 -0.048735
1542151704.384676 1.024112 0.733044 0.565373 -0.089297 -0.345194 0.933321 -0.042183
1542151704.389681 1.02094 0.734013 0.563848 -0.091887 -0.344117 0.933751 -0.035332
