# timestamp[secs] tx ty tz qx qy qz qw
1542145548.567857 0.577138 -1.688487 0.770231 -0.038241 -0.021562 -0.231695 0.971797
1542145548.572859 0.577477 -1.688749 0.770101 -0.037071 -0.018324 -0.232389 0.971744
1542145548.577857 0.577749 -1.688886 0.769989 -0.034858 -0.01237 -0.233838 0.971572
1542145548.582853 0.578191 -1.68926 0.769911 -0.034987 -0.008372 -0.235696 0.971161
1542145548.587847 0.578693 -1.689656 0.769758 -0.034991 -0.00553 -0.238099 0.970594
1542145548.59284 0.579175 -1.689996 0.769576 -0.034832 -0.001416 -0.241145 0.969863
1542145548.597833 0.579609 -1.690287 0.769431 -0.032962 0.00315 -0.243243 0.9694
1542145548.602823 0.580065 -1.69062 0.769312 -0.031561 0.006847 -0.245026 0.968979
1542145548.607815 0.580443 -1.690962 0.769173 -0.03101 0.012618 -0.246206 0.968639
1542145548.612816 0.580898 -1.6913 0.768974 -0.029696 0.016444 -0.248551 0.968024
1542145548.617819 0.581357 -1.691671 0.768849 -0.028073 0.021775 -0.249757 0.967657
1542145548.622823 0.581841 -1.692035 0.768663 -0.027243 0.025998 -0.251761 0.967056
1542145548.62783 0.58232 -1.692323 0.768491 -0.023935 0.031833 -0.253974 0.966391
1542145548.632837 0.582982 -1.692858 0.768381 -0.022581 0.035288 -0.256315 0.965685
1542145548.637838 0.583441 -1.693168 0.768144 -0.019884 0.041478 -0.257996 0.965051
1542145548.642846 0.583905 -1.693629 0.767926 -0.018182 0.048447 -0.258647 0.964585
1542145548.647856 0.584343 -1.694016 0.767581 -0.017498 0.054968 -0.25951 0.964016
1542145548.652863 0.584845 -1.694493 0.767344 -0.015277 0.061911 -0.260579 0.963344
1542145548.657856 0.585465 -1.69509 0.767038 -0.014033 0.068375 -0.263206 0.962211
1542145548.662844 0.586138 -1.695745 0.766729 -0.013134 0.073863 -0.264502 0.961463
1542145548.667842 0.586736 -1.696405 0.766377 -0.013004 0.08011 -0.266119 0.960517
1542145548.672837 0.587294 -1.696867 0.766107 -0.010113 0.088802 -0.266945 0.959558
1542145548.677842 0.587914 -1.697333 0.76577 -0.006429 0.096679 -0.26882 0.958305
1542145548.682846 0.588588 -1.697755 0.76531 -0.003015 0.102641 -0.27052 0.957222
1542145548.687848 0.589267 -1.698291 0.765082 0.00099 0.111453 -0.272644 0.955637
1542145548.692854 0.589944 -1.698959 0.76473 0.001852 0.11782 -0.273505 0.954626
1542145548.697856 0.590584 -1.699524 0.764402 0.004293 0.124867 -0.276337 0.952905
1542145548.702853 0.591305 -1.700164 0.764234 0.005897 0.130306 -0.279368 0.951283
1542145548.707849 0.591819 -1.700539 0.76414 0.009987 0.137177 -0.28153 0.949644
1542145548.712846 0.592325 -1.70106 0.764112 0.012517 0.142575 -0.283606 0.9482
1542145548.717842 0.59273 -1.701548 0.764191 0.016197 0.149984 -0.284439 0.946751
1542145548.722828 0.593146 -1.701847 0.764127 0.020581 0.155227 -0.286536 0.945187
1542145548.727818 0.593489 -1.702451 0.764098 0.020653 0.159265 -0.287531 0.944211
1542145548.732812 0.593802 -1.702733 0.764116 0.024326 0.163944 -0.288482 0.943032
1542145548.737804 0.594255 -1.703026 0.764133 0.028407 0.165954 -0.291068 0.941771
1542145548.742801 0.59432 -1.703241 0.764086 0.029572 0.17113 -0.289477 0.941299
1542145548.747801 0.594622 -1.703578 0.764067 0.030609 0.173738 -0.289666 0.940729
1542145548.752802 0.594768 -1.70371 0.764097 0.031164 0.175612 -0.290196 0.9402
1542145548.757811 0.594738 -1.703704 0.764103 0.030626 0.172952 -0.289199 0.941017
1542145548.762821 0.594624 -1.703724 0.764048 0.028884 0.17222 -0.287787 0.94164
1542145548.76783 0.594509 -1.703584 0.763982 0.029173 0.171368 -0.285825 0.942383
1542145548.77284 0.59434 -1.703352 0.764013 0.029403 0.171843 -0.284554 0.942674
1542145548.777847 0.594283 -1.703147 0.764065 0.029424 0.170439 -0.284284 0.94301
1542145548.782851 0.594133 -1.702999 0.764101 0.028183 0.169675 -0.283351 0.943466
1542145548.787849 0.593893 -1.702711 0.764041 0.026764 0.169212 -0.2815 0.944145
1542145548.792847 0.59374 -1.702524 0.764063 0.025287 0.167317 -0.28046 0.944832
1542145548.797843 0.593568 -1.702372 0.764066 0.023251 0.164088 -0.27886 0.945924
1542145548.802837 0.593379 -1.702148 0.764144 0.022601 0.161915 -0.278137 0.946527
1542145548.807832 0.593207 -1.701833 0.764193 0.022616 0.158976 -0.277518 0.947206
1542145548.812828 0.59306 -1.70167 0.764262 0.021457 0.154318 -0.276223 0.948381
1542145548.817831 0.592733 -1.701359 0.764233 0.020124 0.152088 -0.274948 0.949141
1542145548.822835 0.592447 -1.701201 0.764313 0.017856 0.148845 -0.273686 0.950064
1542145548.827838 0.592102 -1.701032 0.764314 0.015058 0.145772 -0.272695 0.950874
1542145548.832836 0.591817 -1.70083 0.764263 0.012365 0.141996 -0.272384 0.951573
1542145548.837832 0.591543 -1.70064 0.764231 0.008741 0.138502 -0.272178 0.952187
1542145548.842828 0.591205 -1.700301 0.764276 0.007994 0.136213 -0.271056 0.952844
1542145548.847828 0.59095 -1.700057 0.764303 0.006333 0.132489 -0.271079 0.953374
1542145548.852829 0.590761 -1.699865 0.76436 0.004524 0.128519 -0.270933 0.953969
1542145548.857828 0.590565 -1.699715 0.764474 0.002427 0.125208 -0.270949 0.954413
1542145548.862827 0.590381 -1.699501 0.764556 0.001803 0.12334 -0.271133 0.954605
1542145548.867825 0.590204 -1.699363 0.764601 8.5e-05 0.121575 -0.270716 0.954952
1542145548.872822 0.590132 -1.699196 0.764687 0.000122 0.119401 -0.271053 0.95513
1542145548.877818 0.590049 -1.699087 0.764745 -0.000766 0.118409 -0.271342 0.955171
1542145548.882813 0.589973 -1.699018 0.764717 -0.001592 0.117873 -0.271389 0.955223
1542145548.887805 0.589965 -1.698939 0.76475 -0.000742 0.117268 -0.271464 0.955277
1542145548.892797 0.589915 -1.698897 0.764723 -0.000943 0.118446 -0.271465 0.955132
1542145548.897792 0.589895 -1.698822 0.764667 0.000438 0.119605 -0.271436 0.954996
1542145548.902787 0.589989 -1.698876 0.76463 0.000682 0.120107 -0.27152 0.954909
1542145548.907792 0.58998 -1.698908 0.764537 0.000708 0.122069 -0.271497 0.954667
1542145548.912805 0.590066 -1.698945 0.764475 0.001313 0.123253 -0.271821 0.954421
1542145548.917815 0.590154 -1.699016 0.764428 0.00253 0.125316 -0.27171 0.954182
1542145548.922822 0.590308 -1.699142 0.764405 0.003451 0.126623 -0.272641 0.953741
1542145548.927818 0.590428 -1.69931 0.764396 0.003687 0.128527 -0.273218 0.95332
1542145548.932826 0.59055 -1.699353 0.764342 0.005657 0.130393 -0.273764 0.9529
1542145548.937833 0.59065 -1.699485 0.764329 0.00618 0.13266 -0.274006 0.952514
1542145548.94284 0.590772 -1.699654 0.764274 0.005444 0.133781 -0.274229 0.952298
1542145548.947833 0.590929 -1.699826 0.764218 0.005208 0.134246 -0.274672 0.952106
1542145548.952827 0.59106 -1.69992 0.764229 0.005904 0.135204 -0.274541 0.952004
1542145548.957822 0.591152 -1.700024 0.764237 0.005819 0.135958 -0.274418 0.951933
1542145548.962818 0.591242 -1.700019 0.764215 0.007186 0.136382 -0.274704 0.95178
1542145548.967816 0.591337 -1.700148 0.764227 0.006635 0.136609 -0.274467 0.95182
1542145548.972817 0.591295 -1.700104 0.764166 0.006354 0.137727 -0.274016 0.951791
1542145548.977821 0.591322 -1.700027 0.764166 0.007772 0.137938 -0.273999 0.951755
1542145548.982826 0.591277 -1.700105 0.764153 0.006565 0.138444 -0.272887 0.95201
1542145548.987825 0.591303 -1.699975 0.764174 0.008445 0.138143 -0.273318 0.951915
1542145548.992821 0.591287 -1.699985 0.764212 0.007887 0.138127 -0.272815 0.952066
1542145548.997817 0.591258 -1.69997 0.764188 0.007376 0.137423 -0.272674 0.952213
1542145549.00281 0.591224 -1.699915 0.764157 0.007482 0.137075 -0.272378 0.952347
1542145549.007803 0.591212 -1.699879 0.764219 0.007736 0.136554 -0.272894 0.952272
1542145549.012796 0.591109 -1.699884 0.764192 0.006229 0.136652 -0.272272 0.952447
1542145549.017796 0.591147 -1.699824 0.764206 0.006848 0.135002 -0.273474 0.952334
1542145549.0228 0.591073 -1.699774 0.764233 0.006567 0.134732 -0.273201 0.952452
1542145549.027807 0.59097 -1.699741 0.764221 0.005324 0.134614 -0.272755 0.952605
1542145549.032826 0.590946 -1.69967 0.764249 0.006135 0.134049 -0.272811 0.952663
1542145549.037844 0.590858 -1.699633 0.764246 0.005589 0.133911 -0.272579 0.952752
1542145549.042859 0.590822 -1.699589 0.764269 0.005689 0.133429 -0.272324 0.952892
1542145549.047868 0.590796 -1.699575 0.764264 0.005213 0.133111 -0.272293 0.952949
1542145549.052874 0.590812 -1.699611 0.764303 0.005165 0.132574 -0.272426 0.952985
1542145549.057874 0.590782 -1.69955 0.764301 0.00553 0.132785 -0.272276 0.952997
1542145549.062868 0.590763 -1.699555 0.764265 0.005339 0.132875 -0.272376 0.952957
1542145549.067859 0.590762 -1.699553 0.764257 0.005867 0.133135 -0.272525 0.952875
1542145549.072848 0.59073 -1.699537 0.76425 0.006123 0.133977 -0.272473 0.95277
1542145549.077833 0.590803 -1.699584 0.764274 0.006087 0.133263 -0.27278 0.952783
1542145549.082816 0.590779 -1.699589 0.76425 0.006184 0.133839 -0.272795 0.952697
1542145549.0878 0.590781 -1.699592 0.764235 0.006389 0.13422 -0.272917 0.952607
1542145549.09278 0.59081 -1.699636 0.764251 0.006261 0.133869 -0.273036 0.952623
1542145549.097771 0.590776 -1.699624 0.764225 0.006202 0.134307 -0.273031 0.952563
1542145549.10277 0.590818 -1.699651 0.764242 0.006399 0.133954 -0.273476 0.952484
1542145549.107775 0.590785 -1.69964 0.764234 0.006274 0.134212 -0.27324 0.952516
1542145549.112783 0.590761 -1.699607 0.764221 0.006417 0.134216 -0.273161 0.952538
1542145549.117793 0.590773 -1.699686 0.764233 0.00533 0.133684 -0.273181 0.952614
1542145549.122805 0.590788 -1.699581 0.764221 0.006573 0.133477 -0.273337 0.95259
1542145549.127821 0.590753 -1.699601 0.764234 0.005926 0.133675 -0.273002 0.952662
1542145549.132837 0.590758 -1.699607 0.764221 0.006023 0.133476 -0.273141 0.95265
1542145549.137855 0.590752 -1.699589 0.764227 0.006193 0.133633 -0.272881 0.952701
1542145549.142865 0.59074 -1.699529 0.764213 0.006298 0.133634 -0.272596 0.952782
1542145549.147867 0.590774 -1.699573 0.764253 0.006144 0.133382 -0.272884 0.952736
1542145549.152863 0.590783 -1.699547 0.764243 0.006674 0.133423 -0.273032 0.952684
1542145549.157842 0.590799 -1.699569 0.764262 0.006418 0.133508 -0.273027 0.952676
1542145549.162815 0.590792 -1.699524 0.764258 0.006668 0.133843 -0.273046 0.952621
1542145549.167792 0.590818 -1.699581 0.764232 0.006053 0.133799 -0.27299 0.952648
1542145549.172781 0.590856 -1.699619 0.764252 0.006054 0.133782 -0.273136 0.952608
