# timestamp[secs] tx ty tz qx qy qz qw
1541978787.122889 0.642013 -0.484992 0.6535 -0.240421 -0.135463 0.751364 0.599416
1541978787.127888 0.646411 -0.482197 0.652825 -0.242796 -0.132198 0.749511 0.601504
1541978787.132894 0.650719 -0.479286 0.652146 -0.244761 -0.126654 0.747652 0.604208
1541978787.137916 0.655201 -0.476218 0.651488 -0.247018 -0.123111 0.745596 0.606558
1541978787.142936 0.659638 -0.473136 0.650864 -0.248967 -0.118149 0.743413 0.60942
1541978787.147958 0.664063 -0.469908 0.650265 -0.250301 -0.11346 0.74149 0.612102
1541978787.152989 0.668574 -0.466569 0.649686 -0.251095 -0.109058 0.739515 0.614959
1541978787.158015 0.673114 -0.46321 0.649145 -0.251827 -0.103156 0.736807 0.618917
1541978787.163031 0.677793 -0.459637 0.648611 -0.253154 -0.099716 0.733651 0.622676
1541978787.168036 0.682416 -0.456005 0.648132 -0.252994 -0.095962 0.730714 0.626771
1541978787.17303 0.687125 -0.452269 0.647615 -0.253461 -0.091414 0.72731 0.631206
1541978787.178014 0.691992 -0.448359 0.647146 -0.253597 -0.089039 0.72296 0.636466
1541978787.182992 0.696793 -0.444452 0.646579 -0.254145 -0.085769 0.719119 0.641032
1541978787.187966 0.70171 -0.440502 0.645968 -0.255885 -0.082881 0.714197 0.646201
1541978787.192939 0.706685 -0.436315 0.645423 -0.256652 -0.081056 0.710043 0.650691
1541978787.197917 0.711675 -0.432289 0.644741 -0.259054 -0.079051 0.705625 0.654779
1541978787.202902 0.716861 -0.428149 0.644069 -0.262528 -0.078974 0.700059 0.659363
1541978787.207895 0.721873 -0.423886 0.643356 -0.265559 -0.080244 0.695827 0.662468
1541978787.212893 0.727084 -0.419742 0.642506 -0.269235 -0.079745 0.689919 0.667207
1541978787.217894 0.732236 -0.41566 0.64154 -0.273387 -0.07729 0.683442 0.672453
1541978787.222895 0.737457 -0.411413 0.640653 -0.279077 -0.077946 0.676177 0.677366
1541978787.227903 0.742465 -0.407747 0.63959 -0.285525 -0.069517 0.664339 0.687238
1541978787.232916 0.747459 -0.403744 0.638485 -0.291902 -0.065532 0.656272 0.69268
1541978787.237932 0.752357 -0.399642 0.637422 -0.2975 -0.061026 0.648912 0.697626
1541978787.242949 0.757285 -0.39569 0.636289 -0.303688 -0.056382 0.641019 0.70263
1541978787.24796 0.761964 -0.391735 0.635158 -0.309348 -0.050331 0.634747 0.706305
1541978787.25298 0.766562 -0.387837 0.634058 -0.315302 -0.045841 0.628734 0.709349
1541978787.257997 0.77098 -0.384123 0.632968 -0.319874 -0.040367 0.623357 0.712375
1541978787.263009 0.775406 -0.380356 0.631977 -0.325401 -0.036237 0.617611 0.715092
1541978787.268015 0.779667 -0.376724 0.63108 -0.329215 -0.031913 0.613053 0.717471
1541978787.273015 0.783815 -0.37311 0.630169 -0.333116 -0.028883 0.609317 0.71898
1541978787.27802 0.787812 -0.369601 0.629256 -0.337412 -0.024585 0.604402 0.721281
1541978787.283018 0.791768 -0.365965 0.628388 -0.342063 -0.022093 0.600133 0.722735
1541978787.288008 0.795624 -0.362339 0.627514 -0.345488 -0.019209 0.595807 0.724764
1541978787.292995 0.799423 -0.358645 0.626671 -0.348463 -0.017086 0.592255 0.726303
1541978787.29798 0.803192 -0.354895 0.625821 -0.351865 -0.015284 0.588113 0.728066
1541978787.302961 0.806913 -0.351179 0.625009 -0.3548 -0.013665 0.583739 0.730191
1541978787.307944 0.810621 -0.347395 0.624168 -0.35752 -0.012273 0.580281 0.731644
1541978787.31293 0.814235 -0.343476 0.62347 -0.360179 -0.010763 0.576563 0.733301
1541978787.317921 0.817859 -0.339497 0.62266 -0.361542 -0.009648 0.57256 0.735778
1541978787.322919 0.821515 -0.33546 0.62197 -0.363614 -0.009303 0.568107 0.738209
1541978787.327922 0.825048 -0.331346 0.621229 -0.364199 -0.008126 0.563448 0.741498
1541978787.332922 0.82867 -0.327287 0.620511 -0.365718 -0.006902 0.558416 0.744563
1541978787.337926 0.832207 -0.323059 0.619795 -0.366985 -0.007451 0.553521 0.747583
1541978787.342935 0.835786 -0.3188 0.619092 -0.369352 -0.008011 0.547531 0.750816
1541978787.347946 0.839287 -0.314566 0.618419 -0.371427 -0.008245 0.541839 0.753913
1541978787.352956 0.84268 -0.310277 0.617677 -0.372833 -0.008064 0.537199 0.756536
1541978787.357968 0.846135 -0.30602 0.61693 -0.374764 -0.007632 0.531404 0.759674
1541978787.362975 0.849441 -0.301837 0.61627 -0.376506 -0.005808 0.525487 0.762937
1541978787.367977 0.852769 -0.297586 0.615573 -0.377987 -0.004396 0.52023 0.765812
1541978787.372975 0.856071 -0.293417 0.614932 -0.380398 -0.002786 0.514003 0.768824
1541978787.377969 0.859278 -0.289222 0.614426 -0.383658 -0.0009 0.508826 0.77065
1541978787.38296 0.862441 -0.284979 0.61396 -0.385324 0.001634 0.503526 0.773294
1541978787.38795 0.86559 -0.280793 0.613527 -0.385771 0.004933 0.497537 0.776926
1541978787.39294 0.868641 -0.276647 0.61326 -0.386651 0.008295 0.492938 0.779387
1541978787.397933 0.871526 -0.27243 0.612988 -0.385693 0.011937 0.488863 0.782376
1541978787.40293 0.874381 -0.268278 0.612891 -0.384877 0.015868 0.484518 0.785404
1541978787.407932 0.877249 -0.264322 0.612918 -0.386226 0.021321 0.478583 0.788247
1541978787.412935 0.87994 -0.260209 0.613025 -0.384439 0.025383 0.475109 0.791096
1541978787.417935 0.882533 -0.256389 0.613186 -0.383018 0.03041 0.470606 0.794294
1541978787.422938 0.885037 -0.252262 0.613368 -0.381712 0.032791 0.467914 0.796415
1541978787.427949 0.887515 -0.248253 0.613507 -0.381278 0.034203 0.464841 0.798361
