# timestamp[secs] tx ty tz qx qy qz qw
1542151688.964639 0.808613 0.812459 1.000828 0.117594 0.035136 0.975919 0.18033
1542151688.969654 0.806974 0.813057 1.002201 0.119142 0.036587 0.976119 0.177927
1542151688.974666 0.805383 0.813917 1.003187 0.118851 0.035941 0.976436 0.176508
1542151688.979679 0.803843 0.814777 1.004037 0.11848 0.036105 0.976943 0.173899
1542151688.98469 0.802288 0.815793 1.004638 0.117896 0.034959 0.977414 0.171875
1542151688.989697 0.800855 0.817047 1.004901 0.116721 0.032906 0.978251 0.16828
1542151688.994704 0.799431 0.818528 1.004964 0.115024 0.030497 0.978803 0.166684
1542151688.99971 0.798041 0.820043 1.004781 0.113111 0.02913 0.979554 0.1638
1542151689.00471 0.796727 0.821814 1.004334 0.111524 0.026005 0.980096 0.162167
1542151689.009709 0.795479 0.823767 1.003583 0.10967 0.023006 0.980823 0.159465
1542151689.014705 0.794286 0.825821 1.002628 0.108508 0.0214 0.981316 0.157437
1542151689.019699 0.7932 0.828101 1.001384 0.107393 0.01828 0.981768 0.15577
1542151689.024694 0.792221 0.830515 0.999887 0.10637 0.015677 0.98234 0.153126
1542151689.029688 0.791395 0.833191 0.998089 0.105478 0.01251 0.982864 0.150654
1542151689.034679 0.790604 0.835949 0.996061 0.105252 0.009855 0.983214 0.148714
1542151689.039663 0.789972 0.838826 0.993785 0.106015 0.008256 0.983649 0.145351
1542151689.044652 0.789418 0.842038 0.991254 0.107437 0.004414 0.983898 0.14277
1542151689.049657 0.788981 0.845225 0.988453 0.108701 0.002473 0.984263 0.1393
1542151689.054668 0.788656 0.848658 0.985377 0.110176 -0.00086 0.984538 0.136182
1542151689.059683 0.788428 0.852117 0.982057 0.111619 -0.003021 0.984832 0.132805
1542151689.064689 0.788248 0.855707 0.978452 0.113534 -0.005763 0.985122 0.128885
1542151689.069692 0.788199 0.859423 0.97458 0.115523 -0.009364 0.985271 0.125731
1542151689.074692 0.788186 0.86329 0.970419 0.117868 -0.013368 0.985499 0.12133
1542151689.079692 0.788202 0.867156 0.965976 0.120316 -0.016764 0.985578 0.11781
1542151689.08469 0.788218 0.871062 0.96131 0.121834 -0.019721 0.985617 0.115441
1542151689.089684 0.788373 0.875126 0.956312 0.124075 -0.024147 0.985738 0.111102
1542151689.094679 0.788467 0.879141 0.951089 0.125958 -0.027907 0.98573 0.108129
1542151689.099672 0.788576 0.883229 0.945541 0.127622 -0.032784 0.985796 0.104134
1542151689.104673 0.788663 0.887274 0.939737 0.128624 -0.037457 0.985667 0.102536
1542151689.109669 0.788783 0.891439 0.933612 0.129264 -0.043902 0.985548 0.100293
1542151689.114668 0.788819 0.89538 0.927354 0.130578 -0.04688 0.985475 0.097929
1542151689.119666 0.788916 0.899457 0.920712 0.130946 -0.053572 0.985199 0.096779
1542151689.124657 0.788948 0.903442 0.913849 0.131223 -0.058674 0.984967 0.0958
1542151689.129649 0.788923 0.90748 0.906733 0.131912 -0.064184 0.984724 0.093804
1542151689.134638 0.788828 0.911404 0.899329 0.131478 -0.069328 0.984376 0.0944
1542151689.139631 0.788799 0.915126 0.891746 0.13125 -0.074056 0.983994 0.095106
1542151689.14463 0.788792 0.91925 0.883807 0.131599 -0.082745 0.983354 0.094074
1542151689.14963 0.788784 0.922982 0.875729 0.130066 -0.090206 0.982623 0.096937
1542151689.154634 0.788781 0.926701 0.867425 0.128875 -0.096505 0.982142 0.097338
1542151689.159637 0.788784 0.930365 0.85899 0.128673 -0.103598 0.981515 0.096635
1542151689.164644 0.788854 0.934078 0.850219 0.126841 -0.112487 0.980554 0.098851
1542151689.169648 0.788997 0.937597 0.841468 0.125676 -0.119634 0.979814 0.099282
1542151689.174652 0.789162 0.941104 0.832533 0.124383 -0.126948 0.979173 0.098151
1542151689.179657 0.789413 0.944523 0.823637 0.12246 -0.134278 0.9786 0.096513
1542151689.184665 0.789725 0.947843 0.814601 0.119786 -0.14153 0.977937 0.096224
1542151689.18967 0.790078 0.951159 0.805631 0.117872 -0.148571 0.977374 0.093665
1542151689.194674 0.790558 0.954439 0.796655 0.115291 -0.155524 0.976734 0.092255
1542151689.199674 0.790993 0.957542 0.787867 0.112548 -0.161357 0.976186 0.091416
1542151689.204674 0.791564 0.960608 0.779165 0.11142 -0.166146 0.975647 0.089964
1542151689.209675 0.792071 0.963489 0.770735 0.110048 -0.171427 0.974918 0.089647
1542151689.214676 0.792679 0.966445 0.762469 0.109204 -0.176699 0.97394 0.091067
1542151689.219678 0.793289 0.969283 0.754354 0.111137 -0.178773 0.973351 0.090976
1542151689.224677 0.793876 0.971899 0.746553 0.113689 -0.180176 0.972693 0.092088
1542151689.22968 0.794479 0.974394 0.739038 0.117537 -0.180375 0.971967 0.094501
1542151689.234683 0.795056 0.976949 0.731626 0.122931 -0.181385 0.970926 0.096381
1542151689.239683 0.795657 0.979486 0.724505 0.133171 -0.177483 0.970533 0.093978
1542151689.24468 0.796234 0.98171 0.717633 0.140235 -0.173284 0.970062 0.096362
1542151689.249678 0.796776 0.983973 0.710958 0.147807 -0.171432 0.96902 0.09882
1542151689.254675 0.797311 0.986085 0.704476 0.157029 -0.166084 0.968298 0.100784
1542151689.259667 0.797703 0.988008 0.698256 0.166281 -0.161348 0.967474 0.101543
1542151689.264661 0.7981 0.989799 0.692187 0.175382 -0.156526 0.966533 0.102739
1542151689.269655 0.798365 0.991583 0.686278 0.184765 -0.151347 0.965551 0.103286
1542151689.274655 0.798594 0.993266 0.68056 0.194087 -0.146361 0.964348 0.104601
1542151689.279655 0.798695 0.99484 0.675114 0.203493 -0.140678 0.96316 0.10547
1542151689.284658 0.798726 0.996418 0.669765 0.213083 -0.134495 0.961856 0.106491
1542151689.289663 0.798671 0.997843 0.664642 0.221788 -0.12754 0.960551 0.109018
1542151689.294668 0.798447 0.999357 0.659656 0.23108 -0.121413 0.958969 0.110629
1542151689.299676 0.798156 1.000882 0.654844 0.239716 -0.117151 0.957026 0.113635
1542151689.304684 0.797688 1.002224 0.650137 0.248484 -0.10951 0.955202 0.117698
1542151689.30969 0.797114 1.003409 0.645672 0.258232 -0.100937 0.953198 0.120584
1542151689.314693 0.796375 1.004679 0.641225 0.267317 -0.093526 0.950902 0.124818
1542151689.319692 0.79547 1.005701 0.636935 0.27564 -0.085803 0.948735 0.128697
1542151689.324686 0.794459 1.006887 0.632612 0.284372 -0.079957 0.946129 0.132587
1542151689.329684 0.793249 1.008103 0.628299 0.292114 -0.07689 0.943333 0.137404
1542151689.334683 0.791949 1.009091 0.623922 0.298371 -0.072021 0.940875 0.143325
1542151689.339678 0.790489 1.00992 0.619645 0.303024 -0.070478 0.938358 0.150646
1542151689.344672 0.788854 1.010722 0.615387 0.30745 -0.069242 0.935794 0.158017
1542151689.349665 0.787105 1.011281 0.611231 0.312135 -0.066691 0.933453 0.163672
1542151689.35466 0.78528 1.011961 0.606904 0.312881 -0.069011 0.931677 0.171234
1542151689.359661 0.78336 1.012344 0.602809 0.313363 -0.068475 0.929998 0.179497
1542151689.364664 0.781529 1.012912 0.598679 0.312271 -0.07106 0.928793 0.186498
1542151689.369664 0.779646 1.013073 0.594734 0.31001 -0.07116 0.927769 0.195129
1542151689.374666 0.777868 1.013074 0.590842 0.308191 -0.071675 0.926812 0.202238
1542151689.379671 0.776244 1.012969 0.587029 0.307217 -0.072352 0.926099 0.206698
1542151689.384677 0.774746 1.012759 0.58331 0.306126 -0.073179 0.925021 0.212764
1542151689.389676 0.773384 1.012304 0.579643 0.307502 -0.073713 0.92409 0.214629
1542151689.394677 0.772222 1.01171 0.576185 0.308085 -0.074999 0.922853 0.218636
1542151689.399672 0.77115 1.010806 0.572747 0.311458 -0.074509 0.921711 0.218839
1542151689.404663 0.770249 1.009891 0.569389 0.313186 -0.076446 0.920533 0.220658
1542151689.409658 0.769452 1.008638 0.56619 0.316186 -0.07661 0.919277 0.221558
1542151689.414655 0.768788 1.007246 0.563182 0.316915 -0.077704 0.917805 0.226189
1542151689.41965 0.768276 1.005735 0.560261 0.320468 -0.076996 0.916145 0.228143
1542151689.424643 0.767884 1.003858 0.55758 0.326073 -0.075205 0.914709 0.226559
1542151689.429645 0.767675 1.002088 0.554888 0.330708 -0.075443 0.913001 0.226649
1542151689.434653 0.767559 0.999973 0.552501 0.334972 -0.07411 0.911299 0.227676
1542151689.439667 0.767677 0.997641 0.550272 0.340408 -0.071897 0.909813 0.226259
1542151689.444683 0.767905 0.995072 0.548199 0.345995 -0.0681 0.90847 0.224347
1542151689.449696 0.768341 0.99247 0.54621 0.350585 -0.067034 0.907015 0.223428
1542151689.45471 0.768907 0.989497 0.544496 0.355332 -0.06417 0.90585 0.221488
1542151689.459718 0.769678 0.986445 0.542854 0.360571 -0.062187 0.904742 0.218087
1542151689.464726 0.77067 0.983192 0.541259 0.365328 -0.059219 0.903699 0.215306
1542151689.469729 0.771797 0.97991 0.539728 0.370415 -0.058214 0.90276 0.210781
1542151689.474726 0.773106 0.976412 0.538259 0.374965 -0.057099 0.901879 0.206772
1542151689.479718 0.774491 0.972644 0.536883 0.380248 -0.055174 0.90142 0.199524
1542151689.484707 0.776116 0.968864 0.535549 0.384664 -0.055397 0.900657 0.194376
1542151689.489701 0.777826 0.964879 0.534215 0.389513 -0.054972 0.900039 0.187583
1542151689.494695 0.779732 0.960908 0.532924 0.39427 -0.056148 0.899078 0.181818
1542151689.499688 0.78173 0.956736 0.531711 0.398419 -0.055798 0.898504 0.17561
1542151689.504683 0.783854 0.952439 0.530522 0.402726 -0.056146 0.89809 0.167613
1542151689.509677 0.786062 0.948254 0.529444 0.408015 -0.056489 0.897004 0.160366
1542151689.514675 0.788541 0.943965 0.528428 0.412619 -0.055485 0.896046 0.154173
1542151689.519676 0.791028 0.939596 0.527595 0.41863 -0.054131 0.894466 0.147475
1542151689.524672 0.79358 0.935196 0.526842 0.425596 -0.053182 0.892517 0.139477
1542151689.52967 0.796271 0.930774 0.526137 0.432214 -0.051923 0.890625 0.131464
1542151689.53467 0.798933 0.926105 0.525452 0.438134 -0.04981 0.888905 0.124123
1542151689.539672 0.801819 0.921811 0.524913 0.446759 -0.048753 0.886273 0.112023
1542151689.544675 0.804713 0.91702 0.524365 0.452792 -0.04491 0.884414 0.103801
