# timestamp[secs] tx ty tz qx qy qz qw
1541975545.305596 0.579357 1.448253 0.982087 0.119545 -0.313178 0.926296 -0.172059
1541975545.310606 0.579814 1.448214 0.982043 0.119757 -0.313408 0.925993 -0.173119
1541975545.315608 0.580311 1.448118 0.98194 0.119398 -0.312882 0.926112 -0.173683
1541975545.320608 0.580774 1.448082 0.981896 0.119674 -0.313517 0.925775 -0.174146
1541975545.325608 0.581198 1.447948 0.981832 0.12016 -0.312919 0.925781 -0.174851
1541975545.330597 0.581687 1.44786 0.981785 0.119948 -0.31216 0.925766 -0.176427
1541975545.335581 0.582203 1.447825 0.981764 0.119878 -0.311688 0.925752 -0.177376
1541975545.340567 0.582621 1.447692 0.981683 0.119906 -0.311726 0.925588 -0.178147
1541975545.34555 0.583064 1.447633 0.981697 0.120443 -0.311338 0.925614 -0.178327
1541975545.35053 0.583462 1.447629 0.98173 0.121149 -0.312157 0.925092 -0.179124
1541975545.355519 0.583871 1.447589 0.981748 0.121514 -0.312247 0.924887 -0.179779
1541975545.360518 0.58428 1.447552 0.981737 0.121465 -0.312921 0.924479 -0.180736
1541975545.365519 0.58464 1.447447 0.981746 0.121744 -0.312523 0.9245 -0.18113
1541975545.370517 0.585033 1.447357 0.981771 0.122052 -0.311909 0.924544 -0.181754
1541975545.375523 0.585366 1.447282 0.981783 0.122526 -0.311287 0.924656 -0.181932
1541975545.380531 0.585647 1.447267 0.98185 0.1231 -0.311797 0.924315 -0.182404
1541975545.385544 0.585948 1.447227 0.981889 0.12307 -0.311516 0.924357 -0.182692
1541975545.390556 0.586231 1.447181 0.981899 0.123218 -0.311373 0.92434 -0.182918
1541975545.395575 0.586505 1.44708 0.981889 0.122956 -0.310655 0.924621 -0.182898
1541975545.400591 0.58676 1.447064 0.981912 0.123034 -0.310809 0.924454 -0.183425
1541975545.405604 0.586969 1.446955 0.981899 0.123056 -0.309761 0.924812 -0.183382
