# timestamp[secs] tx ty tz qx qy qz qw
1541976466.248703 0.796514 -1.401525 0.796092 0.022053 -0.204626 0.868283 0.451361
1541976466.253705 0.79775 -1.400671 0.79657 0.02234 -0.204168 0.868382 0.451364
1541976466.258701 0.798977 -1.399885 0.797078 0.022667 -0.202052 0.868805 0.451486
1541976466.263693 0.800399 -1.399069 0.797576 0.02161 -0.20159 0.868801 0.451752
1541976466.268684 0.801819 -1.398271 0.798035 0.020405 -0.200434 0.869142 0.451666
1541976466.273673 0.803098 -1.397543 0.798664 0.021922 -0.197591 0.870179 0.45085
1541976466.278661 0.80464 -1.396854 0.799255 0.01984 -0.194788 0.870568 0.451416
1541976466.28365 0.805997 -1.396092 0.799866 0.020779 -0.191758 0.871927 0.450045
1541976466.28864 0.807586 -1.395287 0.800455 0.019974 -0.190728 0.872154 0.450079
1541976466.293634 0.809021 -1.3946 0.801138 0.021293 -0.18755 0.873116 0.449488
1541976466.298631 0.810571 -1.393834 0.801852 0.022163 -0.186691 0.873688 0.448692
1541976466.303628 0.812224 -1.393135 0.802464 0.021699 -0.185086 0.874257 0.448271
1541976466.308628 0.813786 -1.392367 0.803115 0.023439 -0.184092 0.87468 0.447767
1541976466.313633 0.815468 -1.391595 0.803786 0.024622 -0.18401 0.87465 0.447796
1541976466.318641 0.81706 -1.390787 0.804444 0.027569 -0.184987 0.874599 0.447322
1541976466.323653 0.818785 -1.389954 0.805068 0.029741 -0.187156 0.874252 0.446959
1541976466.328666 0.82048 -1.389217 0.805629 0.03188 -0.187771 0.874497 0.446073
1541976466.333678 0.822186 -1.388492 0.806269 0.034502 -0.18925 0.874491 0.445263
1541976466.338686 0.823958 -1.387826 0.806769 0.035652 -0.189439 0.874698 0.444685
1541976466.343692 0.825568 -1.387236 0.80746 0.039024 -0.188929 0.875304 0.443425
1541976466.348695 0.82744 -1.386476 0.807853 0.039469 -0.190276 0.875263 0.44289
1541976466.353693 0.829261 -1.385934 0.808363 0.04045 -0.189476 0.875775 0.442131
1541976466.358694 0.831109 -1.38536 0.80882 0.041344 -0.189 0.876259 0.441293
1541976466.36369 0.832837 -1.384843 0.809365 0.043966 -0.187276 0.877279 0.439746
1541976466.368684 0.834568 -1.384206 0.809825 0.046846 -0.187043 0.877941 0.438224
1541976466.373676 0.836435 -1.383624 0.810177 0.047095 -0.185897 0.878407 0.43775
1541976466.378667 0.838269 -1.382993 0.810461 0.047826 -0.185051 0.878975 0.436888
1541976466.383659 0.840152 -1.382344 0.810807 0.048093 -0.185281 0.879123 0.436463
1541976466.388652 0.841942 -1.381745 0.811113 0.048987 -0.184125 0.879619 0.435855
1541976466.393649 0.843716 -1.381017 0.811336 0.050732 -0.184227 0.879604 0.435641
1541976466.398647 0.845547 -1.380354 0.811477 0.050591 -0.183843 0.87964 0.435749
1541976466.403647 0.847231 -1.379737 0.811629 0.052518 -0.182887 0.879907 0.435383
1541976466.408649 0.849 -1.379138 0.81174 0.052604 -0.182667 0.87981 0.435661
1541976466.413652 0.850751 -1.378462 0.811676 0.052891 -0.183384 0.879454 0.436044
1541976466.418655 0.852408 -1.377943 0.811648 0.053863 -0.183892 0.879747 0.435119
1541976466.42366 0.85408 -1.37731 0.811466 0.055035 -0.185518 0.879466 0.434849
1541976466.428664 0.855758 -1.376811 0.81125 0.054826 -0.185914 0.879395 0.43485
1541976466.433668 0.857535 -1.376118 0.810899 0.055437 -0.191112 0.879043 0.433227
1541976466.438673 0.859193 -1.375694 0.810551 0.055418 -0.192329 0.879074 0.432629
1541976466.443676 0.86089 -1.375287 0.810153 0.054729 -0.193835 0.879125 0.43194
1541976466.448672 0.862453 -1.375046 0.809874 0.055689 -0.194081 0.879785 0.430359
1541976466.453669 0.864101 -1.374681 0.809387 0.055857 -0.196218 0.879849 0.429237
1541976466.458662 0.865783 -1.374486 0.808972 0.05474 -0.197267 0.88017 0.428241
1541976466.463654 0.867416 -1.374245 0.808525 0.055239 -0.199693 0.880411 0.426553
1541976466.468649 0.869054 -1.374085 0.808093 0.055455 -0.200564 0.880731 0.425456
1541976466.473648 0.870671 -1.373895 0.807629 0.05653 -0.202799 0.881007 0.423679
1541976466.478649 0.87234 -1.373718 0.807162 0.056659 -0.204723 0.881242 0.422246
