# timestamp[secs] tx ty tz qx qy qz qw
1541978820.322933 0.207297 -0.381516 0.598463 -0.302461 -0.088623 0.45864 0.830851
1541978820.327923 0.210033 -0.379926 0.598243 -0.302558 -0.090995 0.458427 0.830676
1541978820.332909 0.212742 -0.378481 0.597698 -0.302995 -0.092166 0.457228 0.831049
1541978820.337899 0.215539 -0.377062 0.596853 -0.303961 -0.095455 0.457218 0.83033
1541978820.342894 0.218325 -0.37572 0.595892 -0.306484 -0.098921 0.457628 0.828769
1541978820.347882 0.221258 -0.374504 0.59464 -0.311428 -0.101466 0.457082 0.826918
1541978820.352876 0.224152 -0.37333 0.593272 -0.31623 -0.102688 0.455858 0.825619
1541978820.357873 0.227231 -0.372038 0.591884 -0.320907 -0.107567 0.456624 0.822765
1541978820.362873 0.230294 -0.370952 0.59039 -0.326508 -0.10944 0.455933 0.820695
1541978820.367878 0.233482 -0.369887 0.588998 -0.332329 -0.11247 0.455082 0.818418
1541978820.372883 0.236683 -0.368608 0.587706 -0.336563 -0.116162 0.454847 0.8163
1541978820.377891 0.240037 -0.367367 0.586573 -0.341023 -0.119766 0.454344 0.814205
1541978820.382896 0.243391 -0.366064 0.585612 -0.345387 -0.122273 0.453094 0.812689
1541978820.387902 0.2468 -0.364513 0.584982 -0.347765 -0.125957 0.452638 0.811365
1541978820.392906 0.250205 -0.362843 0.584688 -0.349536 -0.128064 0.451553 0.810879
1541978820.397909 0.253715 -0.36105 0.584689 -0.350268 -0.129304 0.449459 0.811529
1541978820.402913 0.257259 -0.35908 0.585007 -0.35024 -0.129179 0.44665 0.813111
1541978820.407916 0.260741 -0.35692 0.585628 -0.348809 -0.126994 0.443639 0.815714
1541978820.412917 0.264333 -0.354561 0.586572 -0.346758 -0.124313 0.440749 0.818563
1541978820.417917 0.267893 -0.352058 0.58778 -0.343165 -0.120204 0.436814 0.822789
1541978820.422915 0.271475 -0.349401 0.589189 -0.337877 -0.116026 0.434338 0.826878
1541978820.427912 0.275108 -0.346832 0.590677 -0.333568 -0.11058 0.430416 0.831412
1541978820.432909 0.278645 -0.344145 0.592329 -0.326857 -0.106536 0.427482 0.836106
1541978820.437907 0.282284 -0.341535 0.593881 -0.320872 -0.101298 0.423753 0.84096
1541978820.442904 0.285661 -0.338382 0.595596 -0.308917 -0.09956 0.424147 0.845433
1541978820.447902 0.289256 -0.335849 0.59716 -0.301716 -0.097344 0.421847 0.849433
1541978820.452902 0.29283 -0.333303 0.598412 -0.295276 -0.095489 0.420694 0.852473
1541978820.4579 0.29641 -0.33091 0.599576 -0.289047 -0.095099 0.418897 0.855531
