# timestamp[secs] tx ty tz qx qy qz qw
1542145521.567805 0.48459 -2.054687 0.902927 -0.068986 -0.016826 -0.311548 0.947574
1542145521.572799 0.486108 -2.056163 0.902841 -0.069747 -0.011838 -0.319715 0.944869
1542145521.577797 0.488231 -2.056588 0.90338 -0.068868 -0.015408 -0.317412 0.945658
1542145521.5828 0.490113 -2.057762 0.90379 -0.068922 -0.017162 -0.321564 0.94422
1542145521.587803 0.49179 -2.058369 0.903997 -0.065677 -0.01398 -0.320194 0.944969
1542145521.592804 0.493737 -2.05947 0.904456 -0.067876 -0.018427 -0.322557 0.943933
1542145521.597808 0.495355 -2.06043 0.904491 -0.066458 -0.015262 -0.324073 0.943571
1542145521.602814 0.497329 -2.061082 0.904961 -0.066886 -0.018567 -0.322536 0.944008
1542145521.607824 0.498991 -2.062109 0.905095 -0.063578 -0.019069 -0.325476 0.943218
1542145521.612844 0.500409 -2.063178 0.905124 -0.066471 -0.016834 -0.326114 0.94284
1542145521.617861 0.502097 -2.063968 0.905402 -0.063556 -0.018335 -0.328814 0.942075
1542145521.622874 0.503851 -2.064196 0.90574 -0.061252 -0.022803 -0.322796 0.944209
1542145521.627882 0.50515 -2.065461 0.905455 -0.064075 -0.01781 -0.33101 0.941281
1542145521.632885 0.506605 -2.06612 0.905567 -0.062849 -0.016246 -0.32814 0.942396
1542145521.637884 0.508131 -2.067008 0.905574 -0.059729 -0.017044 -0.330703 0.941689
1542145521.642878 0.509367 -2.068255 0.905443 -0.064858 -0.015549 -0.332523 0.940734
1542145521.647869 0.511008 -2.069055 0.905182 -0.063821 -0.015597 -0.334622 0.940059
1542145521.652845 0.511955 -2.069536 0.90506 -0.064896 -0.013628 -0.333696 0.940345
1542145521.657822 0.513225 -2.070367 0.904756 -0.062309 -0.010892 -0.33195 0.941174
1542145521.662804 0.514422 -2.071243 0.90462 -0.066305 -0.013206 -0.334294 0.940041
1542145521.667787 0.515563 -2.071982 0.904472 -0.068583 -0.013859 -0.334467 0.939806
1542145521.672775 0.516638 -2.072496 0.904273 -0.071582 -0.012403 -0.331104 0.940793
1542145521.677768 0.517625 -2.073391 0.904051 -0.073694 -0.014259 -0.337018 0.938501
1542145521.68277 0.518677 -2.07423 0.903849 -0.077049 -0.013815 -0.336492 0.938427
1542145521.687776 0.519733 -2.07466 0.903394 -0.075083 -0.013792 -0.336256 0.938672
1542145521.692788 0.52057 -2.075227 0.903286 -0.074741 -0.014403 -0.338076 0.938036
1542145521.697802 0.521306 -2.075882 0.903091 -0.076449 -0.014824 -0.337324 0.938162
1542145521.702817 0.522051 -2.076422 0.903007 -0.080764 -0.015054 -0.336249 0.938183
1542145521.707834 0.522822 -2.077185 0.902684 -0.084138 -0.013444 -0.339118 0.936877
1542145521.712859 0.523425 -2.077592 0.902539 -0.08264 -0.013269 -0.33938 0.936918
1542145521.717881 0.524001 -2.077528 0.902404 -0.075536 -0.01364 -0.334126 0.939398
1542145521.722902 0.524378 -2.078502 0.902265 -0.081354 -0.011374 -0.338149 0.937501
1542145521.727915 0.524829 -2.078903 0.902254 -0.085607 -0.010949 -0.33711 0.937501
1542145521.73292 0.525347 -2.079274 0.902204 -0.083616 -0.011348 -0.336945 0.937735
1542145521.737917 0.525755 -2.079449 0.902334 -0.084874 -0.01266 -0.333952 0.938676
1542145521.742906 0.525938 -2.079892 0.90226 -0.085173 -0.012452 -0.334224 0.938555
1542145521.747891 0.526183 -2.080042 0.90223 -0.084634 -0.012297 -0.331626 0.939527
1542145521.752872 0.526274 -2.080316 0.902173 -0.086762 -0.012059 -0.330764 0.939639
1542145521.757851 0.526288 -2.080624 0.90204 -0.087241 -0.011412 -0.330819 0.939584
1542145521.76283 0.526339 -2.080859 0.901982 -0.086672 -0.01262 -0.331594 0.939348
1542145521.767808 0.526523 -2.080735 0.90198 -0.084726 -0.014695 -0.328337 0.940638
1542145521.772792 0.526487 -2.080846 0.901825 -0.083425 -0.015067 -0.328561 0.94067
1542145521.777784 0.526443 -2.080722 0.901815 -0.082222 -0.016878 -0.32608 0.941608
1542145521.782782 0.526322 -2.080544 0.901785 -0.080776 -0.018072 -0.32349 0.942604
1542145521.787786 0.526098 -2.080501 0.901717 -0.081001 -0.01895 -0.322079 0.943051
