# timestamp[secs] tx ty tz qx qy qz qw
0.012639 -0.0 0.0 0.0 -0.0 0.0 0.0 1.0
0.017629 -0.000815 -0.001368 0.000573 -0.000135 0.001925 0.000404 0.999998
0.022615 -0.001702 -0.002731 0.001127 -0.000283 0.004002 0.000429 0.999992
0.027605 -0.002658 -0.004107 0.001681 -0.000276 0.006446 0.000672 0.999979
0.0326 -0.00367 -0.005477 0.002235 -0.000237 0.009025 0.000689 0.999959
0.037588 -0.005492 -0.008227 0.0034 -0.000432 0.013492 0.000999 0.999908
0.042582 -0.006352 -0.0096 0.00397 -0.000606 0.015455 0.001247 0.99988
0.047579 -0.00845 -0.012361 0.005113 -0.000534 0.020935 0.001434 0.99978
0.052579 -0.01064 -0.015139 0.0063 -0.0004 0.026839 0.001417 0.999639
0.057584 -0.012869 -0.017955 0.007546 -0.00038 0.032874 0.001122 0.999459
0.062589 -0.016177 -0.022247 0.009505 -0.000356 0.041887 0.001189 0.999122
0.067597 -0.01818 -0.025205 0.01098 -0.000683 0.04723 0.00124 0.998883
0.072602 -0.019958 -0.028267 0.012588 -0.001399 0.051868 0.001497 0.998652
0.077608 -0.021446 -0.031448 0.014325 -0.002545 0.055456 0.001714 0.998456
0.082612 -0.022606 -0.034733 0.016197 -0.004148 0.05778 0.00152 0.99832
0.087615 -0.023392 -0.038141 0.0182 -0.006167 0.058702 0.000948 0.998256
0.092619 -0.023777 -0.041684 0.020331 -0.008692 0.058004 4.8e-05 0.998279
0.097622 -0.023432 -0.04727 0.023817 -0.013315 0.052951 -0.0025 0.998505
0.102623 -0.022963 -0.051061 0.026222 -0.016683 0.048523 -0.004304 0.998673
0.107623 -0.022231 -0.054927 0.028712 -0.020295 0.042855 -0.006402 0.998855
0.112621 -0.021206 -0.05888 0.031235 -0.02384 0.035759 -0.007768 0.999046
0.117618 -0.02054 -0.060889 0.032542 -0.025627 0.031449 -0.007868 0.999146
0.122615 -0.019399 -0.064866 0.035129 -0.029127 0.023809 -0.008571 0.999255
0.127613 -0.018223 -0.068846 0.037736 -0.03267 0.015923 -0.008781 0.999301
0.13261 -0.017587 -0.07085 0.039058 -0.034466 0.01179 -0.009129 0.999295
0.137608 -0.016447 -0.074811 0.041655 -0.037948 0.003718 -0.008522 0.999236
0.142608 -0.015445 -0.078732 0.044203 -0.041241 -0.00396 -0.007144 0.999116
0.147606 -0.014679 -0.08261 0.046684 -0.044341 -0.0108 -0.005324 0.998944
0.152614 -0.013843 -0.088341 0.050321 -0.048653 -0.019889 -0.00204 0.998616
0.157622 -0.014826 -0.095608 0.054368 -0.052177 -0.024056 0.001169 0.998347
0.162629 -0.014893 -0.097451 0.05546 -0.05338 -0.025825 0.002183 0.998238
0.167632 -0.015931 -0.101035 0.057283 -0.054651 -0.025499 0.003142 0.998175
0.17263 -0.017412 -0.104583 0.058973 -0.055419 -0.022872 0.00339 0.998195
0.177625 -0.019269 -0.108108 0.060535 -0.055761 -0.018686 0.003009 0.998265
0.182612 -0.019269 -0.108108 0.060535 -0.055761 -0.018686 0.003009 0.998265
0.187601 -0.021453 -0.111617 0.062006 -0.055803 -0.013196 0.002065 0.998352
0.192603 -0.023937 -0.115124 0.063432 -0.055734 -0.006254 0.00053 0.998426
0.197609 -0.026656 -0.118645 0.064869 -0.055647 0.001814 -0.001422 0.998448
0.202617 -0.031005 -0.123959 0.067065 -0.055591 0.015203 -0.004947 0.998326
0.207626 -0.033925 -0.127551 0.068671 -0.055898 0.023908 -0.007595 0.998121
0.212635 -0.036714 -0.131213 0.070418 -0.056586 0.031874 -0.010402 0.997835
0.217641 -0.040293 -0.136919 0.073464 -0.058742 0.041073 -0.015423 0.997309
0.222643 -0.042392 -0.140776 0.075622 -0.06051 0.045992 -0.019517 0.996916
0.227643 -0.044144 -0.144748 0.077917 -0.062513 0.049177 -0.02333 0.996559
0.23264 -0.045503 -0.148815 0.080344 -0.064959 0.050516 -0.027445 0.996231
0.237635 -0.045753 -0.150949 0.081677 -0.066539 0.049273 -0.029445 0.996131
0.242628 -0.046564 -0.155135 0.08425 -0.06947 0.048268 -0.033421 0.995855
0.247621 -0.04707 -0.159402 0.086912 -0.07276 0.045938 -0.037164 0.995598
0.252614 -0.0474 -0.161519 0.088235 -0.074343 0.044938 -0.039293 0.995444
0.257611 -0.047442 -0.165873 0.090985 -0.078128 0.040446 -0.042508 0.995215
0.262612 -0.047285 -0.170248 0.093753 -0.08199 0.035202 -0.04492 0.994998
0.267616 -0.047032 -0.174635 0.096525 -0.085931 0.029572 -0.046195 0.99479
0.272619 -0.046529 -0.181167 0.100679 -0.091974 0.020926 -0.047558 0.994405
0.277631 -0.046253 -0.185439 0.103369 -0.095914 0.015426 -0.047038 0.994158
0.28264 -0.046098 -0.18963 0.105984 -0.099609 0.010533 -0.04568 0.993922
0.287648 -0.046458 -0.19566 0.109646 -0.10403 0.005862 -0.0429 0.993631
0.292655 -0.046955 -0.199587 0.112 -0.106445 0.004136 -0.041065 0.993462
0.297656 -0.047756 -0.203394 0.114222 -0.108159 0.00391 -0.039491 0.993341
0.302652 -0.048875 -0.207113 0.116332 -0.109289 0.005471 -0.03816 0.993262
0.307645 -0.049774 -0.208889 0.117273 -0.109292 0.008009 -0.038032 0.99325
0.312635 -0.051289 -0.212497 0.11926 -0.109853 0.011663 -0.037221 0.993182
0.317621 -0.053048 -0.216041 0.121198 -0.11016 0.016548 -0.036749 0.993096
0.322604 -0.05497 -0.219538 0.123108 -0.110216 0.022215 -0.036577 0.992986
0.327589 -0.055935 -0.221284 0.124048 -0.110132 0.025139 -0.036579 0.992925
0.332578 -0.05804 -0.224701 0.125938 -0.109904 0.031845 -0.03705 0.992741
0.337583 -0.060103 -0.228114 0.127874 -0.109843 0.0384 -0.037868 0.992485
0.342588 -0.06206 -0.231524 0.129889 -0.110141 0.044395 -0.03931 0.992145
0.347594 -0.064785 -0.236622 0.133006 -0.110894 0.052132 -0.041798 0.991583
0.352606 -0.066159 -0.24006 0.135231 -0.111928 0.054854 -0.044444 0.991205
0.357619 -0.067167 -0.24354 0.137515 -0.11315 0.055696 -0.047452 0.99088
0.362629 -0.06786 -0.247043 0.139872 -0.114623 0.055091 -0.051057 0.990565
0.367635 -0.068119 -0.252445 0.143559 -0.117756 0.050726 -0.05596 0.990166
0.372637 -0.068096 -0.256082 0.146052 -0.120056 0.046961 -0.058783 0.989912
0.377637 -0.067846 -0.259766 0.148581 -0.122674 0.042151 -0.060871 0.989681
0.382634 -0.067448 -0.263489 0.151146 -0.125597 0.036857 -0.062158 0.989446
0.387629 -0.06719 -0.265364 0.152451 -0.12718 0.034179 -0.061853 0.989359
0.392631 -0.066741 -0.269109 0.155026 -0.130297 0.028819 -0.061913 0.98912
0.397628 -0.066321 -0.272844 0.157593 -0.133474 0.023668 -0.061433 0.988863
0.402622 -0.065962 -0.276586 0.160132 -0.136771 0.018632 -0.060236 0.988594
0.407615 -0.065728 -0.280304 0.162628 -0.140022 0.014047 -0.058751 0.988304
0.412609 -0.065526 -0.282172 0.163911 -0.141639 0.011538 -0.057873 0.988158
0.4176 -0.065566 -0.285822 0.166315 -0.144602 0.00777 -0.0563 0.987856
0.422603 -0.065866 -0.289423 0.168624 -0.14721 0.004899 -0.054946 0.987566
0.427607 -0.066458 -0.292969 0.170828 -0.149554 0.002885 -0.054125 0.987267
0.432613 -0.067728 -0.298203 0.173982 -0.152683 0.001213 -0.053778 0.98681
0.437613 -0.070158 -0.303157 0.176735 -0.154318 0.004178 -0.056217 0.986412
0.442612 -0.070863 -0.304828 0.177692 -0.15497 0.00468 -0.05691 0.986267
0.447614 -0.074036 -0.309529 0.180233 -0.155615 0.011003 -0.060655 0.985892
0.452614 -0.076254 -0.312611 0.181933 -0.156028 0.015932 -0.063254 0.985596
0.457613 -0.07742 -0.314088 0.182796 -0.156204 0.018901 -0.064455 0.985438
0.462614 -0.080833 -0.318589 0.185377 -0.156588 0.027401 -0.06843 0.984909
0.467613 -0.081825 -0.320032 0.18635 -0.156912 0.030134 -0.069511 0.984702
