# timestamp[secs] tx ty tz qx qy qz qw
0.006725 0.0 0.0 0.0 -0.0 0.0 0.0 1.0
0.01174 0.000191 -0.000895 0.000174 0.001089 4.7e-05 -0.000177 0.999999
0.016752 0.000285 -0.001744 0.000424 0.002463 0.000344 -0.000502 0.999997
0.021765 0.000292 -0.00258 0.000756 0.003718 0.000883 -0.000964 0.999992
0.026776 0.000415 -0.004279 0.001335 0.006197 0.001433 -0.001687 0.999978
0.031783 0.000266 -0.005907 0.00213 0.008657 0.002689 -0.00279 0.999955
0.03679 -0.001061 -0.008839 0.004609 0.01388 0.006382 -0.00553 0.999868
0.041796 -0.001297 -0.009602 0.005141 0.015217 0.007267 -0.006173 0.999839
0.046796 -0.002278 -0.010953 0.006674 0.0179 0.009432 -0.007544 0.999767
0.051795 -0.003486 -0.012224 0.008432 0.020464 0.011751 -0.008859 0.999682
0.056791 -0.004916 -0.013399 0.010393 0.02308 0.014077 -0.009987 0.999585
0.061785 -0.005859 -0.013867 0.011603 0.024492 0.015146 -0.010225 0.999533
0.06678 -0.007613 -0.014886 0.013903 0.027244 0.017565 -0.010751 0.999417
0.071774 -0.009572 -0.015786 0.016404 0.030187 0.019793 -0.010982 0.999288
0.076765 -0.011741 -0.016574 0.019119 0.033191 0.022013 -0.010843 0.999148
0.081749 -0.012763 -0.017009 0.020412 0.034619 0.023221 -0.010933 0.999071
0.086738 -0.015248 -0.017606 0.023438 0.037916 0.025361 -0.010333 0.998906
0.091743 -0.017949 -0.018082 0.026658 0.041381 0.027456 -0.009372 0.998722
0.096754 -0.020864 -0.018439 0.030058 0.044947 0.029555 -0.008051 0.99852
0.101769 -0.025521 -0.018817 0.035414 0.050701 0.032874 -0.005589 0.998157
0.106775 -0.033082 -0.018679 0.043416 0.058808 0.037765 -0.00159 0.997553
0.111778 -0.034868 -0.018689 0.045365 0.060787 0.038941 -0.000617 0.997391
0.116778 -0.038976 -0.018491 0.049539 0.064839 0.041537 0.001476 0.99703
0.121778 -0.043354 -0.0182 0.053839 0.069012 0.04445 0.003628 0.996618
0.126776 -0.047999 -0.017836 0.058242 0.072921 0.047652 0.005713 0.996182
0.13177 -0.050628 -0.017576 0.060544 0.074735 0.049685 0.006566 0.995943
0.136765 -0.055673 -0.017113 0.065055 0.078455 0.053139 0.008477 0.995464
0.141758 -0.060997 -0.016589 0.069633 0.081851 0.056962 0.01022 0.994963
0.146759 -0.066592 -0.01601 0.074263 0.084982 0.061039 0.011763 0.994442
0.151755 -0.072464 -0.015369 0.078946 0.088103 0.065408 0.013252 0.993873
0.156754 -0.07861 -0.014705 0.083645 0.09068 0.069968 0.014487 0.993314
0.161752 -0.085023 -0.013995 0.088347 0.092856 0.074719 0.01553 0.992751
0.166743 -0.091717 -0.013244 0.093093 0.094762 0.079954 0.016482 0.992147
0.171735 -0.098677 -0.012449 0.097846 0.096205 0.085596 0.017225 0.991525
0.176724 -0.105877 -0.011603 0.10258 0.097342 0.091287 0.01778 0.990896
0.181717 -0.109406 -0.011199 0.104965 0.098019 0.09416 0.018122 0.990554
0.186716 -0.11698 -0.010272 0.109701 0.098895 0.100324 0.018493 0.989855
0.191716 -0.124808 -0.009285 0.114453 0.099424 0.10704 0.01868 0.989095
0.19672 -0.132839 -0.008218 0.119183 0.099669 0.114025 0.018671 0.988289
0.201723 -0.145146 -0.00649 0.126308 0.100382 0.125076 0.018591 0.986881
0.20673 -0.153596 -0.005165 0.130988 0.100982 0.132481 0.018079 0.985862
0.211734 -0.16216 -0.00372 0.135642 0.102003 0.139803 0.017392 0.984758
0.216738 -0.170804 -0.002163 0.140272 0.103442 0.147173 0.016592 0.983547
0.221743 -0.179503 -0.000495 0.144883 0.104962 0.15454 0.015448 0.982274
0.226751 -0.188168 0.001271 0.149414 0.106842 0.161426 0.01412 0.980983
0.231756 -0.196791 0.003123 0.15389 0.108945 0.16794 0.012758 0.979676
0.23676 -0.20532 0.005021 0.15828 0.110893 0.174189 0.011369 0.978382
0.24176 -0.213736 0.006934 0.162604 0.112374 0.180201 0.010134 0.977137
0.24676 -0.221978 0.008852 0.166829 0.113754 0.185425 0.009483 0.976006
0.251761 -0.230014 0.010743 0.170917 0.114531 0.189873 0.009404 0.97506
0.256762 -0.237804 0.012574 0.174839 0.11467 0.193364 0.010164 0.97435
0.261764 -0.245365 0.014344 0.178636 0.114364 0.19612 0.012026 0.973814
0.266763 -0.252646 0.016043 0.182278 0.114074 0.197487 0.01536 0.973525
0.271766 -0.262882 0.0184 0.187318 0.11257 0.196384 0.023042 0.973771
0.276769 -0.269488 0.019909 0.190531 0.111318 0.194664 0.028947 0.974103
0.281769 -0.275831 0.021336 0.193565 0.109869 0.192037 0.035683 0.974565
0.286766 -0.281933 0.022695 0.196435 0.108329 0.188563 0.043161 0.975113
0.291764 -0.284747 0.023294 0.197693 0.107524 0.186065 0.047378 0.975486
