# timestamp[secs] tx ty tz qx qy qz qw
0.005284 0.0 0.0 0.0 -0.0 0.0 0.0 1.0
0.010264 0.002024 0.00227 -0.001257 0.003006 -0.000601 0.001354 0.999994
0.015249 0.004065 0.004527 -0.002523 0.005979 -0.001453 0.002821 0.999977
0.020235 0.006082 0.006792 -0.003768 0.009002 -0.00208 0.004102 0.999949
0.025227 0.006082 0.006792 -0.003768 0.009002 -0.00208 0.004102 0.999949
0.030223 0.010121 0.011312 -0.006252 0.014968 -0.00339 0.006791 0.999859
0.035226 0.014126 0.015852 -0.008692 0.020995 -0.004542 0.009225 0.999727
0.040235 0.018089 0.020402 -0.011091 0.027286 -0.005427 0.011575 0.999546
0.045245 0.024049 0.027215 -0.014676 0.03673 -0.007175 0.015126 0.999185
0.050269 0.027982 0.031771 -0.017003 0.043263 -0.008409 0.017427 0.998876
0.055291 0.031856 0.036332 -0.019268 0.049878 -0.009374 0.019602 0.998519
0.060311 0.035693 0.040883 -0.021497 0.056611 -0.010444 0.022031 0.998099
0.065322 0.041293 0.047663 -0.024755 0.06679 -0.011734 0.025812 0.997364
0.070329 0.044988 0.052139 -0.026911 0.073593 -0.012675 0.028506 0.9968
0.075328 0.04862 0.056556 -0.029022 0.080232 -0.013482 0.031408 0.99619
0.080321 0.052159 0.060906 -0.0311 0.086671 -0.01399 0.034376 0.995545
0.085312 0.053828 0.062981 -0.032105 0.089569 -0.013926 0.035997 0.995233
0.090301 0.057228 0.067174 -0.034138 0.095546 -0.014055 0.039179 0.994554
0.095285 0.060527 0.07128 -0.036149 0.101292 -0.013883 0.04229 0.993861
0.10027 0.063738 0.075273 -0.038142 0.106668 -0.013543 0.045396 0.993166
0.105259 0.066839 0.07915 -0.040114 0.111816 -0.012849 0.0485 0.992461
0.110249 0.069867 0.082889 -0.042087 0.116485 -0.012207 0.051629 0.991774
0.115241 0.071409 0.084809 -0.04307 0.118933 -0.011893 0.053238 0.991403
0.120234 0.074256 0.088358 -0.045006 0.123043 -0.010672 0.056044 0.99076
0.125234 0.077037 0.091756 -0.046952 0.126836 -0.009579 0.0588 0.990133
0.130241 0.079724 0.095034 -0.048888 0.130438 -0.008309 0.061343 0.989522
0.135251 0.083625 0.099789 -0.051774 0.135427 -0.006126 0.064731 0.988652
0.14026 0.086121 0.102715 -0.053699 0.138289 -0.004803 0.066737 0.988129
0.145266 0.08857 0.105508 -0.055619 0.140812 -0.003665 0.068338 0.987668
0.150273 0.090964 0.108196 -0.057534 0.143297 -0.002526 0.069577 0.987228
0.15528 0.093298 0.110754 -0.059444 0.145512 -0.00149 0.070676 0.986828
0.160288 0.095549 0.113196 -0.061329 0.147579 -0.000233 0.071542 0.986459
0.165292 0.097772 0.115492 -0.063226 0.14934 0.00069 0.072467 0.986127
0.170301 0.09994 0.117674 -0.065108 0.150879 0.001458 0.073224 0.985836
0.175309 0.102988 0.120617 -0.067911 0.152786 0.002832 0.074515 0.985442
0.180314 0.104938 0.122472 -0.06978 0.153996 0.003931 0.075316 0.985189
0.185313 0.106779 0.124172 -0.071636 0.154835 0.005284 0.076129 0.984989
0.190309 0.108552 0.125711 -0.073507 0.155377 0.006592 0.076982 0.984829
