# timestamp[secs] tx ty tz qx qy qz qw
0.015322 0.0 -0.0 -0.0 -0.0 0.0 -0.0 1.0
0.020332 0.000162 0.00041 -0.000246 0.000676 -0.00022 0.000463 1.0
0.025334 0.000253 0.000632 -0.000362 0.001093 -0.000422 0.000684 0.999999
0.030333 0.00034 0.000843 -0.000484 0.001498 -0.000571 0.000884 0.999998
0.035334 0.000508 0.001261 -0.000716 0.002175 -0.000796 0.001304 0.999996
0.040322 0.000589 0.001462 -0.000816 0.002488 -0.000801 0.001566 0.999995
0.045307 0.000753 0.001868 -0.001028 0.003119 -0.000898 0.002025 0.999993
0.050293 0.00091 0.002272 -0.001225 0.003805 -0.00085 0.002501 0.999989
0.055276 0.001078 0.002659 -0.001421 0.004463 -0.000919 0.003 0.999985
0.060255 0.001251 0.003046 -0.001606 0.005119 -0.000995 0.003478 0.99998
0.065245 0.001332 0.003242 -0.001699 0.005415 -0.000981 0.003708 0.999978
0.070243 0.001496 0.003587 -0.00187 0.005856 -0.000952 0.004217 0.999974
0.075245 0.001657 0.003919 -0.002014 0.006253 -0.000842 0.004763 0.999969
0.080243 0.001813 0.004239 -0.002149 0.006685 -0.00074 0.005247 0.999964
0.085249 0.001892 0.004376 -0.002211 0.006819 -0.000784 0.005445 0.999962
0.090257 0.002228 0.004955 -0.002495 0.007442 -0.00107 0.006249 0.999952
0.09527 0.002386 0.00521 -0.002616 0.00766 -0.001275 0.006584 0.999948
0.100282 0.002538 0.005435 -0.002734 0.007788 -0.001552 0.006862 0.999945
0.105301 0.002681 0.005632 -0.002856 0.007883 -0.001866 0.007115 0.999942
0.110316 0.002819 0.005812 -0.002981 0.007918 -0.002253 0.007285 0.99994
0.115329 0.002951 0.005957 -0.003109 0.007822 -0.002736 0.007479 0.999938
0.120345 0.003064 0.006083 -0.003228 0.007699 -0.003119 0.007642 0.999936
0.125357 0.003154 0.006205 -0.003336 0.007625 -0.00339 0.007809 0.999935
0.130365 0.003255 0.006346 -0.003497 0.007428 -0.003785 0.00799 0.999933
0.135377 0.003306 0.006435 -0.003603 0.007327 -0.003955 0.008107 0.999932
0.140381 0.003338 0.006522 -0.003698 0.007249 -0.004017 0.00817 0.999932
0.145378 0.003356 0.006597 -0.003795 0.007159 -0.004054 0.008275 0.999932
0.150364 0.003348 0.006627 -0.003843 0.007133 -0.003972 0.008318 0.999932
0.155347 0.003342 0.006694 -0.003938 0.00709 -0.003866 0.008394 0.999932
0.160328 0.003333 0.006746 -0.004039 0.00701 -0.003809 0.008501 0.999932
0.165309 0.003312 0.006784 -0.004141 0.006891 -0.00371 0.00861 0.999932
0.170296 0.003275 0.006816 -0.004239 0.006742 -0.003546 0.008716 0.999933
0.175288 0.003229 0.006832 -0.004342 0.006543 -0.003376 0.008802 0.999934
0.18028 0.003169 0.006838 -0.00445 0.006355 -0.003186 0.00889 0.999935
0.185274 0.003143 0.006844 -0.004499 0.006254 -0.003073 0.008957 0.999936
0.190271 0.003079 0.006833 -0.004627 0.006085 -0.002994 0.008998 0.999937
0.195269 0.003003 0.006812 -0.004761 0.005934 -0.002902 0.009053 0.999937
0.200277 0.002918 0.00678 -0.004905 0.00577 -0.002853 0.009078 0.999938
0.205283 0.002772 0.006722 -0.005134 0.005545 -0.00279 0.009051 0.99994
0.210287 0.002681 0.00661 -0.005334 0.005179 -0.003024 0.009049 0.999941
0.215296 0.002583 0.006476 -0.005546 0.004766 -0.003275 0.009029 0.999943
0.220312 0.00247 0.006317 -0.005771 0.004253 -0.003502 0.008946 0.999945
0.225324 0.002339 0.006133 -0.006012 0.003685 -0.00372 0.008864 0.999947
0.230341 0.002101 0.005806 -0.006446 0.002775 -0.004066 0.0086 0.999951
0.235349 0.001917 0.005565 -0.006753 0.002128 -0.004133 0.008399 0.999954
0.240351 0.001722 0.005306 -0.007091 0.001456 -0.004226 0.008126 0.999957
0.245346 0.001492 0.005066 -0.007447 0.00102 -0.004096 0.007816 0.999961
0.250341 0.001359 0.00493 -0.007669 0.000831 -0.004012 0.007621 0.999963
0.255329 0.001101 0.004667 -0.008095 0.00045 -0.003864 0.007216 0.999966
0.260315 0.000838 0.004382 -0.008561 7.3e-05 -0.003785 0.00682 0.99997
0.2653 0.000548 0.004084 -0.009062 -0.000274 -0.003539 0.006343 0.999974
0.270295 0.00025 0.003767 -0.009608 -0.000613 -0.003338 0.005809 0.999977
0.275286 -6.2e-05 0.00343 -0.010194 -0.000914 -0.003085 0.005209 0.999981
0.280276 -0.000372 0.003075 -0.010835 -0.001161 -0.002966 0.004543 0.999985
0.285268 -0.000528 0.002905 -0.011141 -0.001282 -0.002873 0.004265 0.999986
0.290265 -0.000858 0.00251 -0.011844 -0.001571 -0.002621 0.003543 0.999989
0.295268 -0.001189 0.002091 -0.012598 -0.001758 -0.002417 0.002731 0.999992
0.300271 -0.001527 0.001643 -0.013384 -0.001956 -0.002113 0.001871 0.999994
0.305277 -0.002023 0.000945 -0.014627 -0.00224 -0.00182 0.000457 0.999996
0.31029 -0.00238 0.000435 -0.015509 -0.002388 -0.001249 -0.000584 0.999996
