# timestamp[secs] tx ty tz qx qy qz qw
0.019654 0.0 0.0 0.0 -0.0 0.0 0.0 1.0
0.024648 0.0 0.0 0.0 -0.0 0.0 0.0 1.0
0.029646 0.000112 -0.001081 -7e-05 -0.000826 -0.000176 0.000485 1.0
0.034649 0.000166 -0.002136 -0.000122 -0.001617 -0.000378 0.000332 0.999999
0.039652 0.000261 -0.003171 -0.000221 -0.002036 -0.000587 0.000642 0.999998
0.044653 0.000534 -0.006342 -0.000454 -0.004254 -0.001671 0.001169 0.999989
0.049657 0.000628 -0.008398 -0.000531 -0.005585 -0.001969 0.001221 0.999982
0.054663 0.000731 -0.010391 -0.000642 -0.00671 -0.002686 0.001146 0.999973
0.059673 0.000893 -0.012325 -0.000814 -0.007208 -0.003566 0.002203 0.999965
0.064693 0.000896 -0.014234 -0.000916 -0.00849 -0.003994 0.001925 0.999954
0.06971 0.000926 -0.016067 -0.001054 -0.009125 -0.004489 0.00191 0.999946
0.074723 0.000894 -0.017892 -0.00112 -0.010368 -0.005356 0.001396 0.999931
0.079731 0.00063 -0.020569 -0.001152 -0.012167 -0.00481 0.000608 0.999914
0.084734 0.000472 -0.022261 -0.001233 -0.013147 -0.004844 0.000125 0.999902
0.089733 0.000225 -0.023876 -0.001305 -0.013502 -0.004753 -0.000836 0.999897
0.094727 -0.00014 -0.025525 -0.001262 -0.014916 -0.003771 -0.00193 0.99988
0.099718 -0.00032 -0.026265 -0.001265 -0.015169 -0.003186 -0.001935 0.999878
0.104694 -0.000643 -0.027744 -0.001314 -0.015116 -0.002233 -0.002323 0.999881
0.109671 -0.001014 -0.029238 -0.001296 -0.016111 -0.000944 -0.002304 0.999867
0.114653 -0.001441 -0.030663 -0.001272 -0.016713 0.001056 -0.002232 0.999857
0.119636 -0.001849 -0.032009 -0.001315 -0.017109 0.002235 -0.002174 0.999849
0.124624 -0.002045 -0.032651 -0.001331 -0.017047 0.002956 -0.002267 0.999848
0.129617 -0.00244 -0.03394 -0.00133 -0.017603 0.004169 -0.001911 0.999835
0.134619 -0.00283 -0.035166 -0.001311 -0.018307 0.005823 -0.001056 0.999815
0.139625 -0.003214 -0.0363 -0.001307 -0.018539 0.007548 -0.000419 0.9998
0.144637 -0.003839 -0.038022 -0.00123 -0.019915 0.010206 0.00031 0.99975
0.149651 -0.004217 -0.039033 -0.001195 -0.020235 0.011508 0.000457 0.999729
0.154666 -0.004494 -0.039888 -0.001235 -0.01988 0.01128 0.000401 0.999739
0.159683 -0.004797 -0.040736 -0.001147 -0.020125 0.012252 0.000263 0.999722
0.164708 -0.005115 -0.041503 -0.001064 -0.019913 0.013871 0.000158 0.999705
0.16973 -0.005383 -0.04223 -0.00099 -0.0198 0.014981 -8e-05 0.999692
0.174751 -0.005586 -0.042878 -0.000933 -0.019416 0.015611 -0.000257 0.99969
0.179764 -0.005765 -0.043613 -0.000842 -0.018044 0.015939 -0.00023 0.99971
0.184769 -0.00589 -0.04403 -0.000781 -0.016883 0.016405 -0.000199 0.999723
0.189766 -0.006069 -0.044446 -0.000636 -0.016398 0.017869 -0.000104 0.999706
0.194755 -0.006172 -0.044758 -0.000547 -0.015529 0.018426 0.000249 0.99971
0.19974 -0.006192 -0.044834 -0.000524 -0.014959 0.018227 0.000551 0.999722
0.204721 -0.006244 -0.045046 -0.000466 -0.013991 0.017821 0.000989 0.999743
0.2097 -0.00628 -0.045163 -0.000426 -0.012762 0.017448 0.001616 0.999765
0.214679 -0.006315 -0.04521 -0.000387 -0.011588 0.016789 0.002158 0.99979
0.219657 -0.006335 -0.045181 -0.000372 -0.010224 0.016081 0.002823 0.999814
0.224641 -0.006365 -0.045203 -0.000339 -0.009787 0.015926 0.003121 0.99982
0.229633 -0.006403 -0.045138 -0.000279 -0.009053 0.015301 0.003918 0.999834
0.234631 -0.006443 -0.045045 -0.000223 -0.008549 0.014871 0.004878 0.999841
0.239635 -0.006455 -0.044873 -0.000185 -0.007701 0.01449 0.00598 0.999847
0.244645 -0.006444 -0.04473 -0.000135 -0.007233 0.01444 0.006541 0.999848
0.249658 -0.006416 -0.044193 -3.4e-05 -0.005065 0.014037 0.008698 0.999851
0.254672 -0.006404 -0.043863 9.9e-05 -0.004348 0.014482 0.009735 0.999838
0.259687 -0.006347 -0.043516 0.0002 -0.003543 0.014782 0.010979 0.999824
0.264701 -0.006165 -0.04303 0.000201 -0.001613 0.014268 0.012383 0.99982
0.269711 -0.005903 -0.042487 0.000208 0.000619 0.013549 0.014022 0.99981
0.274717 -0.005588 -0.041603 0.000375 0.003007 0.013238 0.015294 0.999791
0.279721 -0.005196 -0.040847 0.000214 0.006809 0.012145 0.016892 0.99976
0.284722 -0.004864 -0.040161 0.000214 0.009083 0.011132 0.017897 0.999737
0.289719 -0.004443 -0.039399 0.000182 0.011702 0.009611 0.018911 0.999706
0.294708 -0.004245 -0.039007 0.00023 0.012616 0.009284 0.019144 0.999694
0.299701 -0.003806 -0.038179 0.000218 0.01522 0.00784 0.019793 0.999657
0.304694 -0.003372 -0.037361 0.00029 0.017287 0.006965 0.020321 0.99962
0.309686 -0.002929 -0.036489 0.000363 0.019417 0.006179 0.020667 0.999579
0.314676 -0.002384 -0.035561 0.000332 0.022132 0.004562 0.021166 0.999521
0.319664 -0.001678 -0.034482 0.00016 0.026276 0.002157 0.022135 0.999407
0.324658 -0.001485 -0.034102 0.000304 0.026192 0.001776 0.02194 0.999415
0.329657 -0.000777 -0.032963 0.000211 0.029791 -0.000562 0.022484 0.999303
0.334659 -6e-05 -0.031826 0.000111 0.033227 -0.002667 0.02305 0.999178
0.339663 0.000736 -0.030618 -3.1e-05 0.037029 -0.005404 0.023796 0.999016
0.344669 0.001936 -0.028777 -0.000215 0.042519 -0.009083 0.025052 0.99874
0.349671 0.002792 -0.027458 -0.000381 0.046464 -0.012423 0.025685 0.998512
0.354674 0.003684 -0.02614 -0.000515 0.050057 -0.015286 0.026959 0.998265
0.35968 0.004367 -0.024937 -0.000464 0.05168 -0.016722 0.027642 0.998141
0.364687 0.005042 -0.023736 -0.00041 0.05337 -0.017829 0.028611 0.998006
0.369693 0.005977 -0.021778 -0.000273 0.055828 -0.019127 0.029458 0.997822
0.374697 0.006605 -0.020433 -0.000186 0.057455 -0.019998 0.029995 0.997697
0.3797 0.007223 -0.01905 -9.8e-05 0.05899 -0.020747 0.030703 0.997571
0.384693 0.007825 -0.01762 -1.6e-05 0.060698 -0.02094 0.031366 0.997443
0.389685 0.008154 -0.016843 2.1e-05 0.06168 -0.021241 0.031813 0.997363
0.394677 0.008713 -0.015328 0.000142 0.063247 -0.021498 0.032047 0.997252
0.399672 0.009334 -0.013766 0.000258 0.064891 -0.022049 0.032618 0.997115
0.404669 0.009969 -0.012164 0.000391 0.066263 -0.022862 0.03298 0.996995
0.409669 0.010586 -0.010522 0.000525 0.067612 -0.023472 0.033222 0.996882
0.414667 0.011295 -0.008785 0.000643 0.069311 -0.024916 0.033693 0.996715
0.419662 0.011615 -0.007953 0.000702 0.070056 -0.025256 0.033996 0.996644
0.424659 0.012227 -0.006168 0.000916 0.071217 -0.025967 0.033541 0.996558
0.42966 0.012954 -0.004306 0.001073 0.072855 -0.027316 0.033931 0.996391
0.434663 0.013681 -0.00236 0.001228 0.0746 -0.02882 0.034163 0.996211
0.439671 0.014783 0.000639 0.001478 0.077632 -0.030607 0.03481 0.995904
0.444676 0.015508 0.002764 0.001677 0.079877 -0.031168 0.035216 0.995695
0.449682 0.01631 0.00494 0.00187 0.082168 -0.032118 0.036072 0.995447
0.454686 0.017003 0.007171 0.002151 0.084212 -0.031812 0.036551 0.995269
0.459691 0.017841 0.009508 0.002365 0.086856 -0.032501 0.037763 0.994974
0.464696 0.018588 0.011886 0.00268 0.088759 -0.032848 0.038159 0.99478
0.469699 0.019698 0.015605 0.003289 0.091148 -0.032727 0.038143 0.994568
0.474701 0.020455 0.018161 0.003715 0.092782 -0.032846 0.038223 0.99441
0.4797 0.021207 0.02081 0.00416 0.094508 -0.032855 0.03815 0.99425
0.484698 0.021971 0.023554 0.004641 0.096499 -0.032726 0.038294 0.994058
0.489695 0.022362 0.025012 0.004899 0.097515 -0.032779 0.038092 0.993964
0.494686 0.023117 0.0279 0.005398 0.099456 -0.033144 0.037483 0.993783
0.49967 0.023891 0.030882 0.005916 0.101496 -0.033988 0.036908 0.99357
0.504658 0.024273 0.032332 0.00618 0.102464 -0.034029 0.036723 0.993476
0.50965 0.025081 0.035443 0.006715 0.104615 -0.03555 0.03582 0.993232
0.514657 0.025897 0.03863 0.007291 0.106733 -0.037129 0.034616 0.992991
0.519662 0.02671 0.04194 0.007875 0.109055 -0.039166 0.032865 0.99272
